policy,reference,frozen_tau,N,omitted_n,coverage,dev_omitted,dev_N,dev_coverage,changed_k,change_rate,CP95_lo,CP95_hi,p_single_test,p_le_001,p_le_025,branch,always_omit_change_rate,always_omit_changes,cal_disagreement,cal_disagreements,dev_disagreement,dev_disagreements,INVALID_R,INVALID_ref,INVALID_R_omitted,INVALID_ref_omitted,u0_all,u0_omitted,official_AD_items,official_omitted_n,official_changed_k,official_rate,official_CP95_lo,official_CP95_hi,medium_parser_recheck,acc_R,acc_ref,acc_policy,correct_R,correct_ref,correct_policy,delta_acc,delta_acc_boot95_lo,delta_acc_boot95_hi
Llama-3.1-8B OBQA/Text (q=.60) on 744 held-out OBQA,Text,0.009371757507324219,744,440,0.5913978494623656,438,742,0.5902964959568733,3,0.006818181818181818,0.0014082861539551354,0.019795406447589082,3.7067144954739217e-07,True,True,passes (CP upper < 5%),0.1196236559139785,89,0.15885797950219618,217/1366,0.11590296495956873,86/742,0,0,0,0,0,0,744,440,3,0.006818181818181818,0.0014082861539551354,0.019795406447589082,,0.803763440860215,0.8306451612903226,0.8266129032258065,598,618,615,-0.004032258064516129,-0.009408602150537635,0.0
"Llama-3.1-8B ARC/Text (q=.70) on 1,172 ARC test",Text,0.014996349811553955,1172,794,0.6774744027303754,206,299,0.6889632107023411,15,0.018891687657430732,0.01061112650804241,0.030967784869961514,4.396121234163988e-06,True,True,passes (CP upper < 5%),0.1075085324232082,126,0.08928571428571429,40/448,0.12374581939799331,37/299,0,0,0,0,0,0,1169,792,15,0.01893939393939394,0.010638018155844786,0.031045502177706522,,0.8131399317406144,0.8472696245733788,0.8455631399317406,953,993,991,-0.0017064846416382253,-0.007679180887372013,0.004266211604095563
"medium ARC/C2C (q=.60) on 1,172 ARC test",C2C,3.5762786865234375e-07,1172,733,0.6254266211604096,189,299,0.6321070234113713,15,0.020463847203274217,0.011497596563815103,0.033527672339915944,3.131110225675578e-05,True,True,passes (CP upper < 5%),0.14846416382252559,174,0.12276785714285714,55/448,0.1605351170568562,48/299,13,47,0,7,661,661,1169,730,16,0.021917808219178082,0.012578584942707964,0.03534963154160845,2344,0.7593856655290102,0.7218430034129693,0.7252559726962458,890,846,850,0.0034129692832764505,-0.002559726962457338,0.00938566552901024
