dataset,split,N,sampled_R_correct,sampled_T_correct,sampled_R_acc,sampled_T_acc,greedy_R_acc,greedy_T_acc
obqa,fit,2100,1708,1805,0.8133333333333334,0.8595238095238096,0.8176190476190476,0.8571428571428571
obqa,cal,1366,1114,1178,0.8155197657393851,0.862371888726208,0.8147877013177159,0.862371888726208
obqa,dev,742,617,646,0.8315363881401617,0.8706199460916442,0.8315363881401617,0.8692722371967655
arc,fit,670,614,626,0.9164179104477612,0.9343283582089552,0.9149253731343283,0.935820895522388
arc,cal,448,407,409,0.9084821428571429,0.9129464285714286,0.9084821428571429,0.9107142857142857
arc,dev,299,268,275,0.8963210702341137,0.919732441471572,0.8963210702341137,0.9163879598662207
