dataset,reference,N,groups,q,threshold,n_R,coverage,policy_correct,reference_correct,policy_mean_ms,reference_mean_ms,policy_median_ms,reference_median_ms,paired_difference_mean_ms,paired_difference_median_ms,net_saving_ms,CI95_saving_low,CI95_saving_high,accuracy_diff,CI95_accuracy_low,CI95_accuracy_high,policy_U,reference_U,delta_U,CI95_U_low,CI95_U_high,c_ref_train_R_ms,lambda,component_net_saving_ms,saving_minus_component_ms,policy_invalid,reference_invalid,policy_historical_parsed_changes,reference_historical_parsed_changes,confirmed_descriptive_positive_saving,interpretation
obqa,T,128,128,0.8,0.001170039176940918,97,0.7578125,112,113,406.52664299886965,808.3428773406922,231.27245297655463,806.3619548920542,-401.81623434182256,-531.6399480216205,401.81623434182256,335.648053389923,460.5808705231993,-0.0078125,-0.0390625,0.015625,0.8588906014165961,0.8507803618181664,0.008110239598429802,-0.02167872138138908,0.032939742538667535,252.35370575390624,0.01,518.8908159784064,-117.07458163658384,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
obqa,C,128,128,0.8,0.001170039176940918,97,0.7578125,102,101,256.15084116361686,286.5478291296313,229.49137550313026,275.6969395559281,-30.39698796601442,-14.500604011118412,30.39698796601442,15.49732186813344,46.63102076278846,0.0078125,0.0,0.0234375,0.7867245312205395,0.7777074922233728,0.009017038997166833,0.0007619887102296163,0.025119622823009596,252.35370575390624,0.01,28.174772251843926,2.222215714170498,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
arc,T,128,128,0.95,0.01800704002380371,120,0.9375,117,117,291.92216544470284,866.10196674701,261.2777234753594,853.5453219665214,-574.1798013023072,-595.8636640571058,574.1798013023072,536.2888059965826,611.2051777444321,0.0,-0.0234375,0.0234375,0.903126657779057,0.8816170211129647,0.021509636666092322,-0.001814333922679816,0.045308206110870344,266.9407253203125,0.01,697.1304413398125,-122.95064003750535,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
arc,C,128,128,0.9,0.0007095932960510254,115,0.8984375,115,114,256.60851449174515,346.7911427596846,260.8706729952246,309.88415249157697,-90.18262826793944,-47.65090509317815,90.18262826793944,66.94733783642732,115.78337276891942,0.0078125,-0.015625,0.0390625,0.8888245601166671,0.877633683581587,0.011190876535080052,-0.012659908943249934,0.042095568689350694,266.9407253203125,0.01,101.19800487106252,-11.015376603123078,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
