dataset,split,N,R_correct,T_correct,R_invalid,T_invalid,R_acc_pct,T_acc_pct,R_invalid_pct,T_invalid_pct
obqa,fit,2100,1490,1483,67,114,70.95238095238095,70.61904761904762,3.1904761904761907,5.428571428571429
obqa,cal,1366,939,947,59,81,68.74084919472914,69.32650073206442,4.31918008784773,5.929721815519766
obqa,dev,742,531,516,21,26,71.5633423180593,69.54177897574124,2.830188679245283,3.504043126684636
arc,fit,670,449,491,80,57,67.01492537313433,73.28358208955224,11.940298507462687,8.507462686567164
arc,cal,448,306,328,41,36,68.30357142857143,73.21428571428571,9.151785714285714,8.035714285714286
arc,dev,299,204,222,36,19,68.22742474916387,74.24749163879599,12.040133779264215,6.354515050167224
mmlu_pro,fit,3000,642,710,517,392,21.4,23.666666666666668,17.233333333333334,13.066666666666666
mmlu_pro,cal,6000,1295,1498,1025,785,21.583333333333332,24.966666666666665,17.083333333333332,13.083333333333334
mmlu_pro,dev,2641,591,664,450,363,22.377887163953048,25.141991669822037,17.039000378644452,13.744793638773192
