task,arm,N,runtime_failure_count,invalid_count,first_request_retained,first_request_ms,first_request_id,order_position_0,order_position_1,startup_total_seconds,startup_amortized,same_residency_same_allocation,job_id,output_identity_mismatch_count,online_probe_invalid_count,input_preparation_and_entry_ms_mean,online_probe_ms_mean,selector_ms_mean,complete_native_action_decode_parser_ms_mean,final_cleanup_sync_ms_mean
obqa,fixed_C,128,0,3,True,665.9140081610531,9-782,64,64,12.614432452013716,False,True,run019,0,0,0.027448606488178484,0.0002030192263191566,0.00014388206182047725,313.96155709990126,0.031972846045391634
obqa,policy_C,128,0,3,True,327.6375699788332,9-782,64,64,12.614432452013716,False,True,run019,0,0,0.02853142359526828,26.476091787117184,0.0003772529453272,235.25342624634504,0.030654235160909593
arc,fixed_C,128,0,3,True,268.7803520821035,Mercury_7207358,64,64,12.614432452013716,False,True,run019,0,0,0.02689388202270493,0.00019896469893865287,0.00013717180991079658,361.68874918075744,0.03175088386342395
arc,policy_C,128,0,3,True,201.57232182100415,Mercury_7207358,64,64,12.614432452013716,False,True,run019,0,0,0.02701187986531295,26.438239327035262,0.00037612880987580866,252.8394626442605,0.030285385946626775
