setting,seed0_reproduces_frozen_split,x4_outcome,n_resplits,certification_rate,agreement_with_x4_outcome,median_q,label
large/obqa/Text sampled,True,deploy,200,1.0,1.0,0.8,descriptive
large/arc/Text sampled,True,deploy,200,1.0,1.0,0.9,descriptive
