dataset,split,N,sampled_R_correct,sampled_T_correct,sampled_R_acc,sampled_T_acc,greedy_R_acc,greedy_T_acc
obqa,fit,2100,1717,1800,0.8176190476190476,0.8571428571428571,0.8176190476190476,0.8571428571428571
obqa,cal,1366,1113,1178,0.8147877013177159,0.862371888726208,0.8147877013177159,0.862371888726208
obqa,dev,742,617,645,0.8315363881401617,0.8692722371967655,0.8315363881401617,0.8692722371967655
arc,fit,670,613,627,0.9149253731343283,0.935820895522388,0.9149253731343283,0.935820895522388
arc,cal,448,407,408,0.9084821428571429,0.9107142857142857,0.9084821428571429,0.9107142857142857
arc,dev,299,268,274,0.8963210702341137,0.9163879598662207,0.8963210702341137,0.9163879598662207
