pair,dataset,split,component,identity,N,mean,min,p05,median,p95,max,sum
large,obqa,fit,tokenization_prefix_ms,reused,2100,0.8198991716129794,0.6257030181586742,0.679296615999192,0.7838968886062503,1.0544669232331216,2.785335062071681,1721.7882603872567
large,obqa,fit,prepare_transfer_ms,reused,2100,0.11573338770263251,0.09832577779889107,0.10234253713861108,0.1092660240828991,0.13161597307771444,6.836973829194903,243.0401141755283
large,obqa,fit,prefill_projection_ms,reused,2100,42.82725787721574,39.156315848231316,39.675095048733056,41.9221295742318,44.342447619419545,2437.3255900572985,89937.24154215306
large,obqa,fit,label_distribution_ms,reused,2100,0.7345780157040627,0.48106000758707523,0.49544397043064237,0.5390284350141883,0.603612104896456,396.339908009395,1542.6138329785317
large,obqa,fit,probe_core_ms,reused,2100,44.49746845223542,40.5344117898494,41.06613016920164,43.36001200135797,45.921987376641475,2843.2618980295956,93444.68374969438
large,obqa,fit,ProbeMax_score_ms,reused,2100,0.07792439500224732,0.06727711297571659,0.06928107468411326,0.0735290814191103,0.08507207967340946,4.608900984749198,163.64122950471938
large,obqa,fit,GPU_prefill_projection_event_ms,reused,2100,42.75905441465832,39.09836959838867,39.61441268920898,41.856000900268555,44.28011684417724,2431.837158203125,89794.01427078247
large,obqa,fit,diagnostic_mass_ms,reused,2100,0.2700019205388214,0.23992406204342842,0.2457331051118672,0.2661379985511303,0.2815393847413361,4.321349086239934,567.0040331315249
large,obqa,cal,tokenization_prefix_ms,reused,1366,0.8301305926185357,0.6202817894518375,0.6886112387292087,0.7881294004619122,1.0785965132527053,1.7857360653579235,1133.9583895169199
large,obqa,cal,prepare_transfer_ms,reused,1366,0.11438127531428681,0.0984962098300457,0.10349851800128818,0.11017301585525274,0.137573282700032,0.16724690794944763,156.24482207931578
large,obqa,cal,prefill_projection_ms,reused,1366,41.99578293062621,39.273508824408054,39.75549910683185,42.16759686823934,44.84286066144705,238.91367996111512,57366.239483235404
large,obqa,cal,label_distribution_ms,reused,1366,0.5506856912763388,0.48466608859598637,0.49866538029164076,0.5411180900409818,0.6090690148994327,0.812755897641182,752.2366542834789
large,obqa,cal,probe_core_ms,reused,1366,43.49098048983537,40.5992241576314,41.14080115687102,43.61647611949593,46.57254338962957,240.41246296837926,59408.67934911512
large,obqa,cal,ProbeMax_score_ms,reused,1366,0.07645506940176643,0.06732693873345852,0.06951362593099475,0.07402454502880573,0.08762330980971456,0.19655190408229828,104.43762480281293
large,obqa,cal,GPU_prefill_projection_event_ms,reused,1366,41.92984042300312,39.214080810546875,39.69331359863281,42.107391357421875,44.77337455749512,238.8500518798828,57276.162017822266
large,obqa,cal,diagnostic_mass_ms,reused,1366,0.2692546823306083,0.24100509472191334,0.24634849978610873,0.26692450046539307,0.2823290415108204,0.4789459053426981,367.8018960636109
large,obqa,dev,tokenization_prefix_ms,reused,742,0.8339886475138547,0.6459210999310017,0.6978455814532936,0.8029579184949398,1.0543988668359816,2.363797975704074,618.8195764552802
large,obqa,dev,prepare_transfer_ms,reused,742,0.11441081001691902,0.09855604730546474,0.10410858085379004,0.1110999146476388,0.13234252110123634,0.2930841874331236,84.89282103255391
large,obqa,dev,prefill_projection_ms,reused,742,41.67156563406544,39.33675307780504,39.76991206873208,41.967030498199165,43.5489480383694,48.34867804311216,30920.301700476557
large,obqa,dev,label_distribution_ms,reused,742,0.5501686790556398,0.4897050093859434,0.5027700681239367,0.5430516321212053,0.605188577901572,0.9688010904937983,408.22515985928476
large,obqa,dev,probe_core_ms,reused,742,43.17013377065185,40.72587797418237,41.18380972649902,43.44863607548177,45.27493647765368,50.132849952206016,32032.239257823676
large,obqa,dev,ProbeMax_score_ms,reused,742,0.07616209570378708,0.06800796836614609,0.07017406169325113,0.0743805430829525,0.08478000527247784,0.12154015712440014,56.51227501221001
large,obqa,dev,GPU_prefill_projection_event_ms,reused,742,41.60627234014218,39.2806396484375,39.70416660308838,41.90412902832031,43.463627243041984,48.26931381225586,30871.854076385498
large,obqa,dev,diagnostic_mass_ms,reused,742,0.2682752376346977,0.24029402993619442,0.24604694917798042,0.2666639629751444,0.28185262344777584,0.6577740423381329,199.0602263249457
large,arc,fit,tokenization_prefix_ms,new,671,1.0132579921971,0.6134300492703915,0.6949439411982894,1.0057510808110237,1.402897061780095,2.8069159016013145,679.8961127642542
large,arc,fit,prepare_transfer_ms,new,671,0.1470298112832265,0.09845709428191185,0.10437204036861658,0.12824218720197678,0.21943508181720972,6.490238942205906,98.657003371045
large,arc,fit,prefill_projection_ms,new,671,48.209983386701715,38.21499296464026,39.27218553144485,40.91855208389461,53.2969186315313,2997.278156224638,32348.89885247685
large,arc,fit,label_distribution_ms,new,671,1.2341634180929772,0.4644980654120445,0.4929115530103445,0.5832428578287363,0.7567504653707147,432.596042053774,828.1236535403877
large,arc,fit,probe_core_ms,new,671,50.60443460827502,39.71549915149808,40.65933742094785,42.68440022133291,55.505724041722715,3438.646962167695,33955.57562215254
large,arc,fit,ProbeMax_score_ms,new,671,0.09106837793207559,0.06708689033985138,0.06935594137758017,0.08234614506363869,0.1068521523848176,5.149974953383207,61.106881592422724
large,arc,fit,GPU_prefill_projection_event_ms,new,671,48.07358312820003,38.119422912597656,39.17875099182129,40.795135498046875,53.1409912109375,2991.950927734375,32257.374279022217
large,arc,fit,diagnostic_mass_ms,new,671,0.2775248681401887,0.23428304120898247,0.2432200126349926,0.2560641150921583,0.3184614470228553,4.5055970549583435,186.2191865220666
large,arc,cal,tokenization_prefix_ms,new,448,1.0177677525332132,0.6247018463909626,0.6953519652597606,0.9864551248028874,1.4416246209293604,2.1510168444365263,455.95995313487947
large,arc,cal,prepare_transfer_ms,new,448,0.14468939532110067,0.10021007619798183,0.10456804884597659,0.13003603089600801,0.2513306797482073,0.3852378576993942,64.8208491038531
large,arc,cal,prefill_projection_ms,new,448,42.814202451284345,38.409817032516,39.5443853456527,40.8303082222119,53.474821348208934,70.06852002814412,19180.762698175386
large,arc,cal,label_distribution_ms,new,448,0.5921921978629793,0.4763798788189888,0.49638644559308887,0.5729674594476819,0.767622492276132,1.0932870209217072,265.3021046426147
large,arc,cal,probe_core_ms,new,448,44.568851797001635,39.82672491110861,40.96938578877598,42.602873989380896,55.69917334942147,72.54459196701646,19966.845605056733
large,arc,cal,ProbeMax_score_ms,new,448,0.08383054435918373,0.0670070294290781,0.06939548766240478,0.08227000944316387,0.1068085664883256,0.13831094838678837,37.556083872914314
large,arc,cal,GPU_prefill_projection_event_ms,new,448,42.67401599884033,38.31603240966797,39.44801197052002,40.68659210205078,53.31676273345947,69.9125747680664,19117.95916748047
large,arc,cal,diagnostic_mass_ms,new,448,0.26859469029919375,0.23535499349236488,0.24486624170094728,0.2560039283707738,0.3298040945082903,0.622808001935482,120.33042125403881
large,arc,dev,tokenization_prefix_ms,new,299,0.8952158820943091,0.6096719298511744,0.6724649574607611,0.8155419491231441,1.3281479710713024,1.7867579590529203,267.6695487461984
large,arc,dev,prepare_transfer_ms,new,299,0.1266057436419869,0.09922799654304981,0.10363697074353695,0.10965787805616856,0.2108884043991565,0.3181709907948971,37.85511734895408
large,arc,dev,prefill_projection_ms,new,299,41.598957400289315,38.362198043614626,39.32254514656961,40.20404885523021,53.00088992808014,60.96960883587599,12438.088262686506
large,arc,dev,label_distribution_ms,new,299,0.5508610623636373,0.4128101281821728,0.4892408149316907,0.5112260114401579,0.7312420289963484,0.8908850140869617,164.70745764672756
large,arc,dev,probe_core_ms,new,299,43.17164008838925,39.7977321408689,40.73278831783682,41.63142805919051,55.047055101022124,62.700561713427305,12908.320386428386
large,arc,dev,ProbeMax_score_ms,new,299,0.07870161039972784,0.06505311466753483,0.06886676419526339,0.07217610254883766,0.1017076428979634,0.28207292780280113,23.531781509518623
large,arc,dev,GPU_prefill_projection_event_ms,new,299,41.47992844087224,38.26483154296875,39.210086822509766,40.10700988769531,52.64598960876464,60.85939025878906,12402.4986038208
large,arc,dev,diagnostic_mass_ms,new,299,0.26019068394342193,0.23327209055423737,0.24316604249179363,0.25028293021023273,0.31190102454274876,0.4716108087450266,77.79701449908316
small,obqa,fit,tokenization_prefix_ms,new,2100,0.8787977427155489,0.603080028668046,0.6788844591937959,0.8121459977701306,1.2228431296534836,3.538580145686865,1845.4752597026527
small,obqa,fit,prepare_transfer_ms,new,2100,0.12941627164504357,0.09891693480312824,0.1054883236065507,0.11627445928752422,0.19359764410182834,0.5452008917927742,271.7741704545915
small,obqa,fit,prefill_projection_ms,new,2100,31.432180432824506,28.976941714063287,29.783353174570948,30.570163973607123,37.56475695408881,44.15266099385917,66007.57890893146
small,obqa,fit,label_distribution_ms,new,2100,0.5561856677134832,0.4682750441133976,0.4974391427822411,0.5254684947431087,0.6875715800561011,1.9163629040122032,1167.9899021983147
small,obqa,fit,probe_core_ms,new,2100,32.996580114898585,30.32465884461999,31.126557558309287,32.08347933832556,39.66181910363957,46.32575996220112,69292.81824128702
small,obqa,fit,ProbeMax_score_ms,new,2100,0.07942043267013062,0.06646616384387016,0.07017095340415835,0.07608393207192421,0.09686291450634599,0.2502230927348137,166.7829086072743
small,obqa,fit,GPU_prefill_projection_event_ms,new,2100,31.3115677297683,28.881919860839844,29.68739757537842,30.471168518066406,37.34251403808594,44.01561737060547,65754.29223251343
small,obqa,fit,diagnostic_mass_ms,new,2100,0.2625909403321289,0.23402203805744648,0.24622364435344934,0.2558180131018162,0.3107755212113261,0.5555008538067341,551.4409746974707
small,obqa,cal,tokenization_prefix_ms,new,1366,0.8692231690947452,0.6159439217299223,0.6656053592450917,0.7881399942561984,1.2376196682453156,3.205150132998824,1187.358848983422
small,obqa,cal,prepare_transfer_ms,new,1366,0.132037439359022,0.09851600043475628,0.1047904952429235,0.11524802539497614,0.21127256331965327,0.5495389923453331,180.36314216442406
small,obqa,cal,prefill_projection_ms,new,1366,31.393701234310157,28.836827958002687,29.64387839892879,30.441291048191488,37.68040635623038,54.872400127351284,42883.79588606767
small,obqa,cal,label_distribution_ms,new,1366,0.5588473513174262,0.4707910120487213,0.4949533613398671,0.5242560291662812,0.6951673422008753,1.1492231860756874,763.3854818996042
small,obqa,cal,probe_core_ms,new,1366,32.95380919408135,30.04943090490997,30.96976038068533,31.91047895234078,39.57351861754432,57.379538891837,45014.903359115124
small,obqa,cal,ProbeMax_score_ms,new,1366,0.07919415301134698,0.06728689186275005,0.06989185931161046,0.07561291567981243,0.09657291229814291,0.16185594722628593,108.17921301349998
small,obqa,cal,GPU_prefill_projection_event_ms,new,1366,31.26944273003373,28.74060821533203,29.54572820663452,30.333951950073242,37.52729606628418,54.724609375,42714.058769226074
small,obqa,cal,diagnostic_mass_ms,new,1366,0.26251187535769155,0.23406301625072956,0.24645845405757427,0.2564548049122095,0.30642718775197864,0.45884703285992146,358.5912217386067
small,obqa,dev,tokenization_prefix_ms,new,742,0.8820908999502297,0.599052058532834,0.6583065027371049,0.8745974628254771,1.1774846352636812,2.107664942741394,654.5114477630705
small,obqa,dev,prepare_transfer_ms,new,742,0.13023492945433465,0.09842612780630589,0.10382643667981029,0.11947553139179945,0.19824854098260397,0.3815609961748123,96.63431765511632
small,obqa,dev,prefill_projection_ms,new,742,31.15410456274488,28.80999189801514,29.55171149224043,30.628932523541152,35.02733561908826,43.832340044900775,23116.3455855567
small,obqa,dev,label_distribution_ms,new,742,0.5580527460669491,0.46424800530076027,0.48977540573105216,0.5457709776237607,0.6732243462465702,0.8193189278244972,414.07513758167624
small,obqa,dev,probe_core_ms,new,742,32.72448313821639,30.155373038724065,30.857198243029416,32.18295448459685,36.9347414583899,46.12686508335173,24281.566488556564
small,obqa,dev,ProbeMax_score_ms,new,742,0.07980996824429443,0.06570410914719105,0.06971311522647738,0.07837801240384579,0.0946176121942699,0.2989550121128559,59.21899643726647
small,obqa,dev,GPU_prefill_projection_event_ms,new,742,31.032351756031623,28.715007781982422,29.455411624908447,30.510592460632324,34.900634956359866,43.644927978515625,23026.005002975464
small,obqa,dev,diagnostic_mass_ms,new,742,0.26156013389682836,0.23522484116256237,0.24620812619104981,0.2577920677140355,0.30430393526330585,0.4518129862844944,194.07761935144663
small,arc,fit,tokenization_prefix_ms,new,671,1.0340511802328547,0.6395089440047741,0.7195695070549846,1.0047778487205505,1.4706653309985995,3.971788100898266,693.8483419362456
small,arc,fit,prepare_transfer_ms,new,671,0.14352501229828588,0.10166200809180737,0.10729848872870207,0.1278109848499298,0.225616036914289,0.3726840950548649,96.30528325214982
small,arc,fit,prefill_projection_ms,new,671,33.12485239464351,29.13867891766131,29.89244379568845,31.172706047073007,42.05767158418894,55.26462011039257,22226.775956805795
small,arc,fit,label_distribution_ms,new,671,0.5981988709381103,0.47998689115047455,0.500465976074338,0.583734130486846,0.8140593999996781,0.9659870993345976,401.391442399472
small,arc,fit,probe_core_ms,new,671,34.90062745811276,30.460286885499954,31.251337029971182,32.93493506498635,44.342195615172386,57.86363291554153,23418.321024393663
small,arc,fit,ProbeMax_score_ms,new,671,0.08454282168471067,0.06729690358042717,0.07076398469507694,0.0822148285806179,0.11544302105903625,0.15913089737296104,56.72823335044086
small,arc,fit,GPU_prefill_projection_event_ms,new,671,32.9902309014083,29.045759201049805,29.796863555908203,31.029247283935547,41.88672065734863,55.12192153930664,22136.44493484497
