dataset,reference,metric,mean,CI95_low,CI95_high,seed,replicates,unit,indices_sha256
obqa,T,net_saving_ms,427.62454139301553,376.432344411387,474.3781771291651,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,latency_diff_policy_minus_reference_ms,-427.62454139301553,-474.3781771291651,-376.4323444113871,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,accuracy_diff,-0.0078125,-0.0390625,0.015625,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,delta_U,0.009132943306072637,-0.02106903921990799,0.03342907452953116,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,saving_minus_component_ms,-91.26627458539087,-106.20606771333438,-78.38169717181796,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,net_saving_ms,30.279917831649072,15.671668492404933,46.48493701015466,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,latency_diff_policy_minus_reference_ms,-30.279917831649072,-46.48493701015468,-15.671668492404933,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,accuracy_diff,0.0078125,0.0,0.0234375,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,delta_U,0.009012399868368798,0.0007659885583707205,0.025124966012784553,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,saving_minus_component_ms,2.1051455798051486,-2.002657279191466,6.178342390190468,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
arc,T,net_saving_ms,585.36069152251,546.7067777446573,622.9324444052509,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,latency_diff_policy_minus_reference_ms,-585.36069152251,-622.9324444052509,-546.7067777446573,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,accuracy_diff,0.0,-0.0234375,0.0234375,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,delta_U,0.02192848958584769,-0.0014779383521838403,0.045783617416619675,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,saving_minus_component_ms,-111.7697498173025,-120.00123639108347,-103.47257538710882,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,net_saving_ms,90.48175972566241,67.2961027497422,115.37838810149876,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,latency_diff_policy_minus_reference_ms,-90.48175972566241,-115.37838810149879,-67.29610274974222,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,accuracy_diff,0.0078125,-0.015625,0.0390625,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,delta_U,0.011202082448204177,-0.012673278190322495,0.042142077313427055,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,saving_minus_component_ms,-10.716245145400098,-16.590943654726892,-5.389289713276042,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
