dataset,reference,N,groups,q,threshold,n_R,coverage,policy_correct,reference_correct,policy_mean_ms,reference_mean_ms,policy_median_ms,reference_median_ms,paired_difference_mean_ms,paired_difference_median_ms,net_saving_ms,CI95_saving_low,CI95_saving_high,accuracy_diff,CI95_accuracy_low,CI95_accuracy_high,policy_U,reference_U,delta_U,CI95_U_low,CI95_U_high,c_ref_train_R_ms,lambda,component_net_saving_ms,saving_minus_component_ms,policy_invalid,reference_invalid,policy_historical_parsed_changes,reference_historical_parsed_changes,confirmed_descriptive_positive_saving,interpretation
obqa,T,128,128,0.8,0.001170039176940918,97,0.7578125,112,113,393.3131616740866,820.9377030671021,234.79546734597534,810.9955345280468,-427.62454139301553,-532.7235765289515,427.62454139301553,376.432344411387,474.3781771291651,-0.0078125,-0.0390625,0.015625,0.8594142109782353,0.8502812676721627,0.009132943306072637,-0.02106903921990799,0.03342907452953116,252.35370575390624,0.01,518.8908159784064,-91.26627458539087,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
obqa,C,128,128,0.8,0.001170039176940918,97,0.7578125,102,101,257.9806721769273,288.2605900085764,232.45982301887125,280.0782476551831,-30.279917831649072,-14.40375717356801,30.279917831649072,15.671668492404933,46.48493701015466,0.0078125,0.0,0.0234375,0.7866520206541565,0.7776396207857876,0.009012399868368798,0.0007659885583707205,0.025124966012784553,252.35370575390624,0.01,28.174772251843926,2.1051455798051486,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
arc,T,128,128,0.95,0.01800704002380371,120,0.9375,117,117,295.8385029050987,881.1991944276087,265.07238659542054,865.5984145589173,-585.36069152251,-608.6759300669655,585.36069152251,546.7067777446573,622.9324444052509,0.0,-0.0234375,0.0234375,0.9029799459030141,0.8810514563171665,0.02192848958584769,-0.0014779383521838403,0.045783617416619675,266.9407253203125,0.01,697.1304413398125,-111.7697498173025,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
arc,C,128,128,0.9,0.0007095932960510254,115,0.8984375,115,114,261.09286093560513,351.57462066126755,264.8889860138297,314.8292484693229,-90.48175972566241,-49.16936403606087,90.48175972566241,67.2961027497422,115.37838810149876,0.0078125,-0.015625,0.0390625,0.8886565697720511,0.877454487323847,0.011202082448204177,-0.012673278190322495,0.042142077313427055,266.9407253203125,0.01,101.19800487106252,-10.716245145400098,0,0,0,0,True,exposed panel descriptive paired interval; no population guarantee
