setting,policy,q,tau,cal_n,cal_k,cal_p,accepted,equals_u0_rule_on_cal
medium/OBQA/C2C,medium/OBQA/C2C q=.55,0.45,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.05,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.1,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.15,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.2,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.25,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.3,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.35,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.4,0.0,601,7,3.164140331277832e-07,True,True
medium/OBQA/C2C,medium/OBQA/C2C q=.50,0.45,0.0,601,7,3.164140331277832e-07,True,True
medium/ARC/C2C,medium/ARC/C2C,0.05,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.1,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.15,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.2,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.25,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.3,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.35,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.4,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.45,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.5,0.0,256,1,2.869604513945975e-05,True,True
medium/ARC/C2C,medium/ARC/C2C,0.55,0.0,256,1,2.869604513945975e-05,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.05,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.1,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.15,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.2,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.25,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.3,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.35,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.4,0.0,642,2,3.0209317677572816e-12,True,True
large/OBQA/Text+fact,large/OBQA/Text+fact q=.75,0.45,0.0,642,2,3.0209317677572816e-12,True,True
