check,expected,observed,status,source
(1) X3 arc/Text: frozen q (X3 dev_table.csv),0.7,0.7,PASS,$DATA_DIR/P2_R6_X3_20260921T052602Z/results/analysis/dev_table.csv
(1) X3 arc/Text: dev omitted/changed vs X3 dev_table.csv,"[206, 4]","[206, 4]",PASS,$DATA_DIR/P2_R6_X3_20260921T052602Z/results/analysis/dev_table.csv
(1) X3 arc/Text: dev omitted/changed vs value in the E17 request,"[206, 4]","[206, 4]",PASS,E17 request text
"(2) E14-2 dev n0/n range over the nine certified thresholds (%, 1 decimal)","[60.3, 92.1]","[60.3, 92.1]",PASS,recomputed; E14 RESULTS_E14.md
(3) E14-1 sealed C2C official k/n,"[54, 1044]","[54, 1044]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl
(3) E14-1 sealed C2C V2 k/n on the same subset,"[11, 1044]","[11, 1044]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl
(3) E14-1 sealed C2C label differences (outputs),44,44,PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_1_label_diffs.csv
(3) E14_1_label_diffs.csv rows,44,44,PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_1_label_diffs.csv
(4) large/ARC/Text cal q=1: k/n,"[12, 448]","[12, 448]",PASS,stored cal records
(5) large/OBQA/Text: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[354, 2, 354]","[354, 2, 354]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) large/OBQA/C2C: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[354, 1, 354]","[354, 1, 354]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) large/ARC/Text: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[217, 0, 217]","[217, 0, 217]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) large/ARC/C2C: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[217, 1, 217]","[217, 1, 217]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) large/MMLU-Pro/Text: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[645, 8, 645]","[645, 8, 645]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) large/MMLU-Pro/C2C: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[645, 5, 645]","[645, 5, 645]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) medium/OBQA/C2C q=.55: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[321, 7, 321]","[321, 7, 321]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) medium/ARC/C2C: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[174, 1, 174]","[174, 1, 174]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) large/OBQA/Text+fact: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[354, 1, 354]","[354, 1, 354]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(5) medium/OBQA/C2C q=.50: dev u=0 rule n0/k0 == E14-2 n0/k0 (and every u=0 question is omitted),"[321, 7, 321]","[321, 7, 321]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
