setting,observed,q0,N_fit,N_cal,prevalence_cal,AUROC_dev,AUROC_cal,share_u0_cal,share_u0_dev,P_certify_devAUROC,modal_q_devAUROC,median_coverage_when_certified_devAUROC,predicted_devAUROC,agree_devAUROC,P_certify_calAUROC,modal_q_calAUROC,median_coverage_when_certified_calAUROC,predicted_calAUROC,agree_calAUROC,AUROC_at_P50,AUROC_at_P50_value,bisection_steps,label
large/ARC/Text,certify,0.95,670,448,0.026785714285714284,0.9518779342723005,0.946387614678899,0.7165178571428571,0.725752508361204,1.0,0.95,0.95283748202492,certify,True,1.0,0.95,0.9528361639468275,certify,True,0.6294,0.6293686523437501,0.5000:0.275;0.9999:1.000;0.7500:0.841;0.6250:0.487;0.6875:0.655;0.6562:0.563;0.6406:0.524;0.6328:0.508;0.6289:0.496;0.6308:0.505;0.6299:0.501,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,certify,0.9,670,448,0.046875,0.9088269454123112,0.9005799040927845,0.7165178571428571,0.725752508361204,0.995,0.9,0.8918237732711742,certify,True,0.989,0.9,0.8847413772088712,certify,True,0.7700,0.76996552734375,0.5000:0.008;0.9999:1.000;0.7500:0.409;0.8749:0.960;0.8124:0.728;0.7812:0.560;0.7656:0.478;0.7734:0.516;0.7695:0.498;0.7714:0.507;0.7705:0.501,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/MMLU-Pro/Text,certify,0.4,3000,6000,0.21583333333333332,0.8214679315782257,0.8139185701566148,0.24033333333333334,0.24422567209390383,0.9875,0.25,0.2519342815212613,certify,True,0.9605,0.25,0.21779116584038677,certify,True,0.7797,0.7797291992187498,0.5000:0.000;0.9999:1.000;0.7500:0.110;0.8749:1.000;0.8124:0.948;0.7812:0.535;0.7656:0.282;0.7734:0.404;0.7773:0.466;0.7792:0.493;0.7802:0.522,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/MMLU-Pro/C2C,certify,0.4,3000,6000,0.29133333333333333,0.8463998007101454,0.8404098031132476,0.24033333333333334,0.24422567209390383,0.961,0.2,0.198306471033653,certify,True,0.921,0.2,0.1616936089659108,certify,True,0.8139,0.81390205078125,0.5000:0.000;0.9999:1.000;0.7500:0.009;0.8749:1.000;0.8124:0.470;0.8437:0.944;0.8281:0.774;0.8202:0.627;0.8163:0.543;0.8144:0.504;0.8134:0.488,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/MMLU-Pro/Text,fallback,0.0,3000,6000,0.4675,0.6438493788909302,0.6402281863093794,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.8705,0.87053134765625,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.602;0.8124:0.004;0.8437:0.067;0.8593:0.252;0.8671:0.417;0.8710:0.514;0.8691:0.469;0.8700:0.490,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
small/MMLU-Pro/C2C,fallback,0.0,3000,6000,0.5803333333333334,0.6258202388434946,0.6146233619946723,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.8998,0.8998223632812501,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.065;0.9374:0.999;0.9062:0.637;0.8905:0.284;0.8984:0.452;0.9023:0.546;0.9003:0.500;0.8993:0.476,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/MMLU-Pro/Text,fallback,0.0,3000,6000,0.43066666666666664,0.7165514125803323,0.7259952595145047,0.115,0.12268080272624006,0.0,,,fallback,True,0.0,,,fallback,True,0.8598,0.8597913085937499,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.814;0.8124:0.017;0.8437:0.185;0.8593:0.487;0.8671:0.665;0.8632:0.566;0.8613:0.524;0.8603:0.508,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
medium/MMLU-Pro/C2C,fallback,0.0,3000,6000,0.5445,0.7652413133530371,0.7558211370039863,0.115,0.12268080272624006,0.0,,,fallback,True,0.0,,,fallback,True,0.8901,0.89005869140625,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.169;0.9374:1.000;0.9062:0.839;0.8905:0.503;0.8827:0.318;0.8866:0.397;0.8886:0.449;0.8896:0.472,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/OBQA/Text+fact,certify,0.75,2100,1366,0.12445095168374817,0.8885925399083293,0.9083759590792838,0.4699853587115666,0.477088948787062,1.0,0.7,0.6636873660526018,certify,True,1.0,0.75,0.7358630551477865,certify,True,0.7885,0.7885165039062498,0.5000:0.000;0.9999:1.000;0.7500:0.149;0.8749:0.999;0.8124:0.753;0.7812:0.399;0.7968:0.584;0.7890:0.501;0.7851:0.442;0.7871:0.471;0.7880:0.484,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/OBQA/Text,fallback,0.0,2100,1366,0.27232796486090777,0.6926768084681826,0.7218512689037451,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.8744,0.8744368164062499,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.502;0.8124:0.024;0.8437:0.131;0.8593:0.291;0.8671:0.377;0.8710:0.438;0.8730:0.466;0.8739:0.486,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/OBQA/C2C,fallback,0.0,2100,1366,0.5849194729136163,0.6178915281959778,0.6632276235947493,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9545,0.95449892578125,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.000;0.9374:0.147;0.9687:0.845;0.9530:0.447;0.9608:0.666;0.9569:0.560;0.9550:0.514;0.9540:0.480,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/ARC/Text,fallback,0.0,670,448,0.35714285714285715,0.6778866867729427,0.6878689236111111,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9652,0.96523896484375,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.004;0.9374:0.117;0.9687:0.582;0.9530:0.277;0.9608:0.408;0.9648:0.490;0.9667:0.534;0.9657:0.518,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X1-Llama/ARC/C2C,fallback,0.0,670,448,0.609375,0.6145747126436781,0.6893354264782836,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9965,0.9964827148437501,0.5000:0.000;0.9999:0.982;0.7500:0.000;0.8749:0.000;0.9374:0.000;0.9687:0.004;0.9843:0.037;0.9921:0.218;0.9960:0.437;0.9979:0.665;0.9970:0.528,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X2-OLMo/OBQA/Text,fallback,0.0,2100,1366,0.2342606149341142,0.7896419828641371,0.7738482911089866,0.0,0.0,0.018,0.1,0.1123115729868801,fallback,True,0.0045,0.1,0.10422635673018037,fallback,True,0.8598,0.8597913085937499,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.726;0.8124:0.065;0.8437:0.307;0.8593:0.481;0.8671:0.600;0.8632:0.537;0.8613:0.514;0.8603:0.504,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X2-OLMo/ARC/Text,fallback,0.0,670,448,0.21205357142857142,0.7491636644364384,0.705471895035038,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.9301,0.9300897460937501,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.077;0.9374:0.616;0.9062:0.246;0.9218:0.392;0.9296:0.495;0.9335:0.553;0.9316:0.522;0.9306:0.511,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X2-OLMo/MMLU-Pro/Text,fallback,0.0,3000,6000,0.4095,0.6326074196234902,0.6507757878065528,0.0,0.0,0.0,,,fallback,True,0.0,,,fallback,True,0.8539,0.8539331054687498,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.892;0.8124:0.026;0.8437:0.293;0.8593:0.617;0.8515:0.436;0.8554:0.537;0.8534:0.494;0.8544:0.522,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X3-Llama8B/OBQA/Text,certify,0.6,2100,1366,0.15885797950219618,0.8744859614293817,0.8646047655143924,0.0,0.0,0.9745,0.55,0.4985410713552848,certify,True,0.941,0.5,0.4544078776789073,certify,True,0.8188,0.8187838867187498,0.5000:0.000;0.9999:1.000;0.7500:0.026;0.8749:0.975;0.8124:0.425;0.8437:0.782;0.8281:0.619;0.8202:0.517;0.8163:0.468;0.8183:0.497;0.8193:0.510,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
X3-Llama8B/ARC/Text,certify,0.7,670,448,0.08928571428571429,0.8804415102125026,0.9137867647058824,0.0,0.0,0.7195,0.65,0.6370486731161764,certify,True,0.926,0.75,0.7322497917716193,certify,True,0.8520,0.8519803710937499,0.5000:0.000;0.9999:1.000;0.7500:0.052;0.8749:0.673;0.8124:0.243;0.8437:0.448;0.8593:0.550;0.8515:0.496;0.8554:0.525;0.8534:0.511;0.8525:0.505,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
