dataset,reference,old_net_saving_ms,net_saving_ms,saving_minus_component_ms,old_reference_ms,reference_ms,old_action_ms,policy_action_ms,old_probe_selector_ms,online_probe_selector_ms,policy_other_ms,reference_other_ms,reference_shift_ms,selected_action_shift_ms,online_control_shift_ms,identity
obqa,T,518.8908159784064,395.4682054500154,-123.42261052839103,993.8901472421874,801.8905851567979,431.633079890625,349.34473650901054,43.36625137315608,56.95474194180861,0.1229012559633702,0.11614693357842043,-191.99956208538958,-82.28834338161445,13.711391824615896,saving change = reference shift - selected-action shift - online-control shift
obqa,C,28.174772251843926,29.4188631214638,1.2440908696198771,347.017202890625,281.9299346592743,275.476127890625,220.0812784176378,43.36630274815607,32.309835882188054,0.11995723798463587,0.12363685527816415,-65.0872682313507,-55.394849472987204,-10.936509627983387,saving change = reference shift - selected-action shift - online-control shift
arc,T,697.1304413398125,573.5230015616253,-123.60743977818724,1060.6606055078125,860.7935945692589,320.462952046875,254.87569454890036,43.06721212112499,32.2755763954774,0.11932206325582229,0.11398550668673124,-199.86701093855362,-65.58725749797465,-10.672313662391764,saving change = reference shift - selected-action shift - online-control shift
arc,C,101.19800487106252,91.38224307025666,-9.81576180080585,422.5938222109375,345.8347557188972,278.3288260078125,222.1291977330111,43.066991332062486,32.20577407591918,0.11754083971027285,0.12435234202712309,-76.75906649204029,-56.19962827480141,-10.743676416433036,saving change = reference shift - selected-action shift - online-control shift
