dataset,reference,metric,mean,CI95_low,CI95_high,seed,replicates,unit,indices_sha256
obqa,T,net_saving_ms,395.4682054500154,325.32651743699716,458.2903760238423,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,latency_diff_policy_minus_reference_ms,-395.4682054500154,-458.2903760238423,-325.3265174369972,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,accuracy_diff,-0.0078125,-0.0390625,0.015625,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,delta_U,0.00785868676813383,-0.021957308665704393,0.032797522767048594,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,T,saving_minus_component_ms,-123.42261052839103,-185.43948605095673,-88.82851387000916,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,net_saving_ms,29.4188631214638,14.933092807223147,45.53738553959191,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,latency_diff_policy_minus_reference_ms,-29.4188631214638,-45.537385539591924,-14.933092807223165,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,accuracy_diff,0.0078125,0.0,0.0234375,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,delta_U,0.008978278922626676,0.0007361609206108221,0.025073324608315607,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
obqa,C,saving_minus_component_ms,1.2440908696198771,-3.4864699544923674,5.954542738145347,0,2000,128 independent panel groups,03b4a79fa2e91a4121ff970be8365a1851a041b16b0abb07c34ade98157fd602
arc,T,net_saving_ms,573.5230015616253,536.0401597722557,608.7261720114839,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,latency_diff_policy_minus_reference_ms,-573.5230015616253,-608.7261720114839,-536.0401597722557,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,accuracy_diff,0.0,-0.0234375,0.0234375,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,delta_U,0.021485031962561463,-0.0018742826806119378,0.04528338400947878,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,T,saving_minus_component_ms,-123.60743977818724,-132.86501035371984,-114.03573951609724,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,net_saving_ms,91.38224307025666,68.90337367085522,116.18958345329699,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,latency_diff_policy_minus_reference_ms,-91.38224307025666,-116.18958345329702,-68.90337367085525,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,accuracy_diff,0.0078125,-0.015625,0.0390625,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,delta_U,0.01123581590507981,-0.0126518976803615,0.04214638342923047,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
arc,C,saving_minus_component_ms,-9.81576180080585,-16.321978048136245,-3.7502815294998917,0,2000,128 independent panel groups,d05b2b29d55fe872bc7ca472b6b1bae669cd6e24a6e6d7ffbf02ee78e0a77b07
