policy,N,a_mean_ms,a_CI_low,a_CI_high,a_median_ms,a_share_slower,b_N,b_excluded_ids,b_mean_ms,b_CI_low,b_CI_high,b_median_ms,b_share_slower,b_class,policy_omitted,frozen_identity_all_true,fixed_first_id,fixed_first_attempt,fixed_first_ms,policy_first_id,policy_first_attempt,policy_first_ms,mean_fixed_ms,mean_policy_ms
Llama-3.1-8B OBQA/Text,128,318.60086990127456,261.09326909677293,372.13898995200907,479.84574653673917,0.390625,127,9-782,325.5312216347157,269.3409376590711,376.3941183422718,479.8649218864739,0.3858267716535433,positive,76,128/128,9-782,2,784.990981919691,9-782,1,1346.544782165438,770.3193074958108,451.7184375945362
Llama-3.1-8B ARC/Text,128,418.89480087957054,361.6965100735797,473.7328009223802,534.4645078293979,0.265625,127,Mercury_7207358,417.56701681535606,359.82045600384174,473.4291539645266,525.6699929013848,0.2677165354330709,positive,88,128/128,Mercury_7207358,258,790.5507918912917,Mercury_7207358,257,203.02741485647857,818.4386997381807,399.5438988586102
