setting,parser,q,n,k,p,accepted,label
small/OBQA/C2C,OFFICIAL,0.35,506,122,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.4,572,161,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.45,642,191,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.5,703,210,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.55,790,265,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.6,868,310,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.65,935,351,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.7,1007,398,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.75,1064,438,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.8,1110,471,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.85,1180,512,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.9,1243,551,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,0.95,1313,591,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,OFFICIAL,1.0,1366,629,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.05,65,2,0.362997,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.1,142,10,0.899752,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.15,216,22,0.999425,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.2,282,36,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.25,375,65,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.3,447,101,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.35,506,132,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.4,572,171,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.45,642,202,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.5,703,221,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.55,790,275,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.6,868,320,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.65,935,361,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.7,1007,409,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.75,1064,448,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.8,1110,481,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.85,1180,522,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.9,1243,562,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,0.95,1313,602,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,D1,1.0,1366,640,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.05,18,1,0.773523,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.1,33,2,0.772807,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.15,50,5,0.962224,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.2,78,18,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.25,108,25,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.3,128,30,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.35,140,34,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.4,163,46,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.45,182,53,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.5,206,63,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.55,234,75,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.6,263,90,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.65,289,107,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.7,315,119,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.75,341,132,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.8,362,143,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,OFFICIAL,0.85,378,155,1,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
