split,rule,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,estimated_net_saving_ms,cost_identity,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U
cal,R iff frozen parsed R==Text; requires both unavailable online answers,1366,1223,0.8953147877013177,0,0.0,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,1223,0.0,0.0030117103380314964,623.3287904667234,"old panel mean estimate, no per-cal request timing",,,,,,
dev,R iff frozen parsed R==Text; requires both unavailable online answers,742,670,0.9029649595687331,0,0.0,0.0,0,0,0,645,0.8692722371967655,0.0,0,0,0,0,670,0.0,0.005490661145582137,,"selected historical component opportunity only; cost to obtain both answers excluded, not realizable online",323.4894612576245,244.30895305704325,980.191983235999,652.274515200218,0.6684757082015512,0.8569470691148539
