setting,N_cal_bothparse,N_cal,N_dev_bothparse,N_dev,bothparse_q,bothparse_accepted_q,min_p,min_p_q,min_p_k,min_p_n,dev_disagreement_bothparse,dev_AUROC_bothparse_MW,dev_bothparse_coverage,dev_bothparse_omitted,dev_bothparse_changed,dev_bothparse_change_rate,dev_bothparse_change_CP95_lo,dev_bothparse_change_CP95_hi,dev_coverage_of_all_dev,label
obqa/Text,1260,1366,698,742,0.45,0.15;0.2;0.25;0.3;0.35;0.4;0.45,9.958801771886639e-06,0.4,6,478,0.1876790830945559,0.8547598852942364,0.44412607449856734,310,5,0.016129032258064516,0.005257262279154482,0.03723637694937329,0.41778975741239893,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,386,448,258,299,0.4,0.4,0.0004327772257594776,0.4,0,151,0.15503875968992248,0.8813073394495413,0.34108527131782945,88,0,0.0,0.0,0.04105262905807801,0.29431438127090304,"DIAGNOSTIC (descriptive, not deployable)"
