setting,split,N,R_INVALID,R_INVALID_rate,T_INVALID,T_INVALID_rate,disagreements,both_parseable_differ,only_R_INVALID,only_T_INVALID,both_INVALID_counted_as_agreement
obqa/Text,fit,2100,67,0.03190476190476191,114,0.054285714285714284,463,352,32,79,35
obqa/Text,cal,1366,59,0.04319180087847731,81,0.05929721815519766,320,248,25,47,34
obqa/Text,dev,742,21,0.02830188679245283,26,0.03504043126684636,172,131,18,23,3
arc/Text,fit,670,80,0.11940298507462686,57,0.08507462686567165,147,70,50,27,30
arc/Text,cal,448,41,0.09151785714285714,36,0.08035714285714286,95,48,26,21,15
arc/Text,dev,299,36,0.12040133779264214,19,0.06354515050167224,67,40,22,5,14
