setting,cal_agreement_oA_vs_native_R,cal_disagreement_rate_argmax,q_A,accepted_q,min_p,min_p_q,min_p_k,min_p_n,dev_disagreements_argmax,dev_AUROC_u_argmax_label_MW,dev_argmax_coverage,dev_argmax_omitted,dev_argmax_changed,dev_argmax_change_rate,dev_argmax_change_CP95_lo,dev_argmax_change_CP95_hi,dev_share_argmax_disagreements_with_INVALID_Text,label
obqa/Text,0.9516837481698389,0.24377745241581258,fallback,none,0.9005903567244544,0.15,13,191,165,0.8079827740139699,0.0,0,0,nan,nan,nan,0.15757575757575756,E13-5 style post hoc family (descriptive)
arc/Text,0.9017857142857143,0.19419642857142858,fallback,none,0.37735360253530764,0.05,0,19,65,0.7654832347140039,0.0,0,0,nan,nan,nan,0.2923076923076923,E13-5 style post hoc family (descriptive)
