dataset,split,N,R_correct,T_correct,R_acc,T_acc
obqa,fit,2100,1490,1483,0.7095238095238096,0.7061904761904761
obqa,cal,1366,939,947,0.6874084919472914,0.6932650073206442
obqa,dev,742,531,516,0.715633423180593,0.6954177897574124
arc,fit,670,449,491,0.6701492537313433,0.7328358208955223
arc,cal,448,306,328,0.6830357142857143,0.7321428571428571
arc,dev,299,204,222,0.6822742474916388,0.7424749163879598
