pair,task,reference,variant,deployed_q,fit_threshold,cal_n,cal_k,accepted_q,dev_N,dev_omitted,dev_changed,dev_coverage_pct,dev_changed_over_omitted,historically_tested,label
medium,OBQA,C2C,Entropy,0.55,1.957186097508436e-05,739,19,0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,742,389,11,52.42587601078167,11/389,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,Margin,0.55,2.3790051955074887e-06,739,19,0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,742,391,11,52.695417789757414,11/391,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,primary_ProbeMax,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,alpha_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,alpha_0.10,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,fixed_sequence_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,Entropy,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,Margin,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,primary_ProbeMax,0.6,3.5762786865234375e-07,290,1,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,299,189,4,63.21070234113712,4/189,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,alpha_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,alpha_0.10,0.75,0.00010406970977783203,363,15,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75,299,219,7,73.24414715719064,7/219,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,fixed_sequence_0.02,0.6,3.5762786865234375e-07,290,1,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,299,189,4,63.21070234113712,4/189,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,Entropy,0.6,5.046082614253306e-06,282,1,0.3;0.35;0.4;0.45;0.5;0.55;0.6,299,187,3,62.541806020066886,3/187,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,Margin,0.6,6.635301872393029e-07,286,1,0.3;0.35;0.4;0.45;0.5;0.55;0.6,299,187,3,62.541806020066886,3/187,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,primary_ProbeMax,0.8,0.001170039176940918,1064,18,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,742,572,19,77.088948787062,19/572,historically tested (reused certification),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,alpha_0.02,0.65,7.987022399902344e-06,870,4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65,742,460,6,61.99460916442049,6/460,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,alpha_0.10,0.9,0.04792952537536621,1217,67,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,742,676,44,91.10512129380054,44/676,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
