policy,N_fit,N_cal,mean_probe_ms,mean_R_request_ms,mean_ref_request_ms,C_shadow_ms,C_standalone_ms,C_shadow_h,C_standalone_h,saving_per_query_ms,saving_source,W_shadow_queries,W_standalone_queries,W_shadow_range_over_repeat_means,n_b_per_repeat,n_omitted_per_repeat,label
large/ARC/C2C,670,448,32.54064031341296,215.5800959856484,349.3307626034986,132960.31887196616,289460.5005183335,0.03693342190887949,0.08040569458842597,91.72992563862697,mean of 3 ClusterA E3 repeats (b),1449.4759256185127,3155.573260341152,1433-1471 (same saving),127;127;127,114;114;114,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC/Text,670,448,32.573100800926646,215.1433313891542,869.480628130977,132800.9391577771,522328.2605604548,0.03688914976604919,0.14509118348901523,577.3115890580926,mean of 3 ClusterA E3 repeats (b),230.0333852200113,904.7597007582242,227-234 (same saving),127;127;127,119;119;119,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/C2C,3000,6000,42.017784036862174,216.65422887437873,278.80696655101974,1678085.429578032,3350927.2288841503,0.46613484154945334,0.9308131191344862,22.02076034004814,"full 2,641-question replay (b)",76204.69973174248,152171.27733732125,75440-77268 (same saving),127;127;127,48;48;48,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/Text,3000,6000,41.9087698744253,216.70223909798855,1070.1054250974248,1677392.363457759,8098024.914042308,0.4659423231827108,2.249451365011752,261.48554095521746,mean of 3 ClusterA E3 repeats (b),6414.857040776234,30969.302870284486,6337-6517 (same saving),127;127;127,48;48;48,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/C2C,2100,1366,32.77193538641699,204.78550889432276,283.90029023445436,393324.5331989662,781132.3296592308,0.10925681477749061,0.21698120268311966,28.16582755112331,mean of 3 ClusterA E3 repeats (b),13964.600631209914,27733.334951419798,13795-14107 (same saving),127;127;127,96;96;96,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text,2100,1366,32.6893723391368,205.94303683254918,808.2022565151773,394619.5528407104,1498623.8352404425,0.10961654245575289,0.4162843986779007,424.2937954899237,mean of 3 ClusterA E3 repeats (b),930.0620396417793,3532.0427759496483,918-943 (same saving),127;127;127,96;96;96,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC/C2C,670,448,26.13533087737194,184.27125868599924,355.07400916752425,111772.82381222949,270845.97991928033,0.03104800661450819,0.07523499442202232,79.47089019221721,mean of 3 ClusterA E3 repeats (b),1406.4624611840034,3408.1155913087405,1387-1421 (same saving),127;127;127,76;76;76,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA/C2C,2100,1366,26.196062980400608,164.95091925878452,305.77805316750346,316118.50999756815,733811.3306243778,0.0878106972215467,0.20383648072899385,47.630530782655036,mean of 3 ClusterA E3 repeats (b),6636.888248003416,15406.322763289465,6551-6683 (same saving),127;127;127,66;66;66,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
