setting,outcome,q0,dev_AUROC,sample_split,N_split,split_disagreement_rate,split_AUROC,n100_AUROC_median,n100_AUROC_q25,n100_AUROC_q75,n100_share_pred_deploy,n100_match_share,n100_no_disagreement_draws,n100_no_agreement_draws,n100_dis_rate_median,n100_dis_rate_q25,n100_dis_rate_q75,n200_AUROC_median,n200_AUROC_q25,n200_AUROC_q75,n200_share_pred_deploy,n200_match_share,n200_no_disagreement_draws,n200_no_agreement_draws,n200_dis_rate_median,n200_dis_rate_q25,n200_dis_rate_q75,n400_AUROC_median,n400_AUROC_q25,n400_AUROC_q75,n400_share_pred_deploy,n400_match_share,n400_no_disagreement_draws,n400_no_agreement_draws,n400_dis_rate_median,n400_dis_rate_q25,n400_dis_rate_q75,label
large/ARC/C2C,deploy,0.9,0.9088269454123112,fit,670,0.04626865671641791,0.9323287394618608,0.9670269961107298,0.9364350328947368,0.9791666666666666,0.97,0.97,2,0,0.05,0.03,0.06,0.9299125781478723,0.901288548519737,0.9686272905759163,0.995,0.995,0,0,0.045,0.04,0.055,0.9343125254494731,0.9158978115112681,0.9467356814150225,1.0,1.0,0,0,0.045,0.0425,0.05,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/Text,deploy,0.4,0.8214679315782257,fit,3000,0.22533333333333333,0.8120366079703428,0.8170820147679325,0.7901775278835237,0.8446893774056157,0.705,0.705,0,0,0.21,0.19,0.2425,0.813798052115583,0.7888193181818182,0.8380013288500826,0.665,0.665,0,0,0.225,0.205,0.245,0.8134493869465553,0.7983966110005163,0.8264756203738615,0.725,0.725,0,0,0.22375,0.2125,0.235,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro/C2C,deploy,0.4,0.8463998007101454,fit,3000,0.29333333333333333,0.8436583404802744,0.8399644850329782,0.8124682902080163,0.8722280790248003,0.835,0.835,0,0,0.29,0.26,0.32,0.8478093306288033,0.8295806747016424,0.8607797889116187,0.915,0.915,0,0,0.2925,0.27,0.315,0.8430497903761291,0.8280238313611084,0.8558350501787326,0.98,0.98,0,0,0.29,0.2775,0.3075,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/MMLU-Pro/Text,fallback,0.0,0.6438493788909302,fit,3000,0.44566666666666666,0.6163249500434239,0.6197280930026487,0.5764652952921396,0.6634742092223592,0.0,1.0,0,0,0.45,0.41,0.48,0.611732208385628,0.5945052716205071,0.6363409265926593,0.0,1.0,0,0,0.445,0.425,0.47,0.6190654317718436,0.6028569858816424,0.636895929692277,0.0,1.0,0,0,0.4475,0.43,0.4625,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/MMLU-Pro/C2C,fallback,0.0,0.6258202388434946,fit,3000,0.5836666666666667,0.6123813956933679,0.6083871551334238,0.5799319279754063,0.6356534090909092,0.0,1.0,0,0,0.59,0.55,0.62,0.6176466062691368,0.591340973283873,0.640685445733918,0.0,1.0,0,0,0.58,0.565,0.605,0.61282967822525,0.5963927398312775,0.6284627953607856,0.0,1.0,0,0,0.58,0.5625,0.6,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/MMLU-Pro/Text,fallback,0.0,0.7165514125803323,fit,3000,0.412,0.71118568786738,0.7103443860491696,0.6765651106259474,0.741085359186014,0.045,0.955,0,0,0.41,0.37,0.44,0.7111064196980508,0.6888338979031132,0.7342469451548735,0.005,0.995,0,0,0.41,0.39375000000000004,0.43,0.7116201452349831,0.6992286730328574,0.7265547785247758,0.0,1.0,0,0,0.41125,0.3975,0.425,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/MMLU-Pro/C2C,fallback,0.0,0.7652413133530371,fit,3000,0.521,0.7711894893703605,0.7694020954890519,0.7337662337662338,0.8073229291716687,0.31,0.69,0,0,0.525,0.49,0.56,0.7727727509272939,0.7504065371334201,0.7924792479247924,0.21,0.79,0,0,0.52,0.495,0.545,0.7713845189471817,0.7575955518283717,0.7878044378869434,0.14,0.86,0,0,0.5225,0.5075,0.535,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/OBQA/Text,fallback,0.0,0.6926768084681826,fit,2100,0.3038095238095238,0.7400483084536578,0.7436014652014651,0.7123232848232849,0.7770665533831012,0.13,0.87,0,0,0.3,0.27,0.33,0.7393802703373016,0.7136572637888428,0.7637726622108678,0.035,0.965,0,0,0.3,0.285,0.32625000000000004,0.7413887353367419,0.729362834482834,0.7558756911032397,0.01,0.99,0,0,0.3025,0.2875,0.32,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/OBQA/C2C,fallback,0.0,0.6178915281959778,fit,2100,0.5752380952380952,0.6437464734356902,0.6428138073584126,0.6082345630377861,0.6798263800454304,0.0,1.0,0,0,0.57,0.54,0.6025,0.6368213071287645,0.6143989769820971,0.6615592350177979,0.0,1.0,0,0,0.575,0.555,0.605,0.6465086299590084,0.6253049158456487,0.6623116981332343,0.0,1.0,0,0,0.575,0.56,0.5875,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/ARC/Text,fallback,0.0,0.6778866867729427,fit,670,0.31343283582089554,0.7554451345755694,0.7577035059503503,0.7266632326007327,0.7835679451228956,0.15,0.85,0,0,0.31,0.29,0.35,0.7589232790744909,0.7354372834039276,0.7791123066238056,0.065,0.935,0,0,0.315,0.295,0.335,0.7546073535920097,0.7437234638531061,0.767137734184777,0.0,1.0,0,0,0.3125,0.3025,0.3225,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X1-Llama/ARC/C2C,fallback,0.0,0.6145747126436781,fit,670,0.6014925373134329,0.6753608237841655,0.681499738745428,0.6479224165058668,0.7165757478257477,0.01,0.99,0,0,0.6,0.57,0.63,0.6781993829819265,0.6561557986885963,0.6966912610844108,0.0,1.0,0,0,0.605,0.58,0.625,0.6741485751634778,0.6623149379423786,0.686147676461889,0.0,1.0,0,0,0.6025,0.5925,0.6125,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/OBQA/Text,fallback,0.0,0.7896419828641371,fit,2100,0.22047619047619046,0.7727233745552036,0.7711413810044534,0.7442827404426039,0.820460704607046,0.365,0.635,0,0,0.22,0.19,0.2425,0.7722273857754801,0.7479640747438216,0.795590030416574,0.215,0.785,0,0,0.22,0.2,0.235,0.7688009140895509,0.7545107504647812,0.7860535102384099,0.095,0.905,0,0,0.22,0.2075,0.2325,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/ARC/Text,fallback,0.0,0.7491636644364384,fit,670,0.21940298507462686,0.6784250985288952,0.6829138210717158,0.635689831002331,0.7199610136452241,0.025,0.975,0,0,0.22,0.19,0.24,0.6830267177276379,0.6559897965485602,0.7088529868848563,0.0,1.0,0,0,0.215,0.205,0.235,0.6788758694128791,0.6634217816662233,0.6917450755765974,0.0,1.0,0,0,0.2175,0.21,0.22812500000000002,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2-OLMo/MMLU-Pro/Text,fallback,0.0,0.6326074196234902,fit,3000,0.4033333333333333,0.6493787801837573,0.6506592005234972,0.6119237277562033,0.6863677536231884,0.0,1.0,0,0,0.4,0.37,0.43,0.6525489535677866,0.625443915111983,0.6822808791424093,0.0,1.0,0,0,0.4075,0.385,0.43,0.6492405353933797,0.6326699768067401,0.6669373401534527,0.0,1.0,0,0,0.4025,0.39,0.42,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA/Text+fact,deploy,0.75,0.8885925399083293,dev (no fit-split reference outputs; flagged),742,0.10242587601078167,0.8885925399083293,0.8911111111111112,0.8598560204163652,0.9152933571201061,0.985,0.985,0,0,0.1,0.08,0.13,0.8896650224775224,0.8703727697832341,0.9081820139569851,1.0,1.0,0,0,0.1,0.09,0.115,0.8881215922164561,0.8772878765649452,0.8977834189330519,1.0,1.0,0,0,0.105,0.0975,0.11,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
