group,split,pair,benchmark,path,n_outputs,n_parse_differs,n_rerun_V2_ne_stored,label
X2 OLMo (cross-family),fit,X2-OLMo,obqa,R,2100,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
X2 OLMo (cross-family),fit,X2-OLMo,obqa,Text,2100,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
held-out OBQA 744 (E9b),held-out,large,obqa,C2C,744,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
held-out OBQA 744 (E9b),held-out,large,obqa,R,744,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
held-out OBQA 744 (E9b),held-out,large,obqa,Text,744,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
held-out OBQA 744 (E9b),held-out,large,obqa,Text+fact,744,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
held-out OBQA 744 (E9b),held-out,medium,obqa,C2C,744,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
held-out OBQA 744 (E9b),held-out,medium,obqa,R,744,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,cal,large,mmlu_pro,C2C,6196,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,cal,large,mmlu_pro,R,6196,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,cal,large,mmlu_pro,Text,6196,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,dev,large,mmlu_pro,C2C,2743,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,dev,large,mmlu_pro,R,2743,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,dev,large,mmlu_pro,Text,2743,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,fit,large,mmlu_pro,C2C,3093,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,fit,large,mmlu_pro,R,3093,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large MMLU-Pro,fit,large,mmlu_pro,Text,3093,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large OBQA Text+fact (E6),cal,large,obqa,Text+fact,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large OBQA Text+fact (E6),dev,large,obqa,Text+fact,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,cal,medium,arc,C2C,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,cal,medium,arc,R,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,cal,medium,arc,Text,448,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,cal,medium,obqa,C2C,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,cal,medium,obqa,R,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,cal,medium,obqa,Text,1366,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,dev,medium,arc,C2C,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,dev,medium,arc,R,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,dev,medium,arc,Text,299,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,dev,medium,obqa,C2C,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,dev,medium,obqa,R,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,dev,medium,obqa,Text,742,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,fit,medium,arc,C2C,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,fit,medium,arc,R,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium OBQA/ARC,fit,medium,arc,Text,671,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
