policy,q,threshold,n,k,p,accepted,frozen_q,label
large/OBQA/C2C,0.7,4.5418739318847656e-05,932,8,1.6636519116978745e-12,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/C2C,0.75,0.0002611875534057617,999,13,2.568461338288297e-10,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/C2C,0.8,0.001170039176940918,1064,22,6.7085048137187e-07,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/C2C,0.85,0.008580565452575684,1135,37,0.002845311366930047,False,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/C2C,0.9,0.04792952537536621,1217,64,0.6897642195326337,False,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/C2C,0.95,0.22272759675979614,1297,90,0.9990641457081348,False,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/C2C,1.0,Infinity,1366,127,0.9999999999811713,False,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.05,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.1,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.15,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.2,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.25,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.3,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.35,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.4,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.45,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.5,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.55,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.6,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.65,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.7,0.0,321,0,7.067686831570697e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.75,1.1920928955078125e-07,338,0,2.9551435872405092e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.8,8.940696716308594e-07,359,0,1.0064085059855213e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.85,3.457069396972656e-05,385,1,5.6391779624023226e-08,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.9,0.0007095932960510254,404,3,1.8395676690471413e-06,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,0.95,0.01800704002380371,422,4,4.801495832619201e-06,True,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,1.0,Infinity,448,12,0.010802134398183727,False,0.95,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.05,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.1,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.15,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.2,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.25,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.3,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.35,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.4,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.45,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.5,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.55,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.6,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.65,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.7,0.0,321,2,1.1320045778432438e-05,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.75,1.1920928955078125e-07,338,2,5.217424700176114e-06,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/C2C,0.8,8.940696716308594e-07,359,2,1.9917130995324734e-06,True,0.9,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
