task,id,route,policy_C_vs_same_round_fixed_C_raw_match,policy_C_vs_same_round_fixed_C_parsed_match,policy_C_vs_same_round_fixed_C_token_ids_match,policy_R_vs_Stage1_R_raw_match,policy_R_vs_Stage1_R_parsed_match,policy_R_vs_Stage1_R_token_ids_match,fixed_C_vs_Stage1_C_raw_match,fixed_C_vs_Stage1_C_parsed_match,online_ProbeMax_exactly_matches_Stage1,online_probe_input_hash_matches_Stage1,online_route_matches_Stage1,differences_retained_no_retry
obqa,11-629,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-516,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-176,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-116,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-694,C,True,True,True,,,,True,True,True,True,True,True
obqa,8-133,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-959,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-1056,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-380,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-523,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-352,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-754,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-1046,R,,,,True,True,True,True,True,True,True,True,True
obqa,11-442,C,True,True,True,,,,True,True,True,True,True,True
obqa,11-564,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-1146,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-605,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-311,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-9,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-492,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-376,R,,,,True,True,True,True,True,True,True,True,True
obqa,13-804,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-216,C,True,True,True,,,,True,True,True,True,True,True
obqa,14-745,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-877,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-354,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-362,R,,,,True,True,True,True,True,True,True,True,True
obqa,12-242,C,True,True,True,,,,True,True,True,True,True,True
obqa,10-616,R,,,,True,True,True,True,True,True,True,True,True
obqa,14-1328,C,True,True,True,,,,True,True,True,True,True,True
obqa,13-438,C,True,True,True,,,,True,True,True,True,True,True
obqa,12-1208,R,,,,True,True,True,True,True,True,True,True,True
obqa,10-351,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7207358,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_LBS10915,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_177398,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_SC_400655,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_414131,C,True,True,True,,,,True,True,True,True,True,True
arc,Mercury_7223038,R,,,,True,True,True,True,True,True,True,True,True
arc,Mercury_7124338,C,True,True,True,,,,True,True,True,True,True,True
arc,MDSA_2008_5_24,C,True,True,True,,,,True,True,True,True,True,True
