split,component,n,mean,min,p05,median,p95,max,sum
fit,tokenization_prefix_ms,2100,0.8198991716129794,0.6257030181586742,0.679296615999192,0.7838968886062503,1.0544669232331216,2.785335062071681,1721.7882603872567
fit,prepare_transfer_ms,2100,0.11573338770263251,0.09832577779889107,0.10234253713861108,0.1092660240828991,0.13161597307771444,6.836973829194903,243.0401141755283
fit,prefill_projection_ms,2100,42.82725787721574,39.156315848231316,39.675095048733056,41.9221295742318,44.342447619419545,2437.3255900572985,89937.24154215306
fit,label_distribution_ms,2100,0.7345780157040627,0.48106000758707523,0.49544397043064237,0.5390284350141883,0.603612104896456,396.339908009395,1542.6138329785317
fit,probe_core_ms,2100,44.49746845223542,40.5344117898494,41.06613016920164,43.36001200135797,45.921987376641475,2843.2618980295956,93444.68374969438
fit,ProbeMax_score_ms,2100,0.07792439500224732,0.06727711297571659,0.06928107468411326,0.0735290814191103,0.08507207967340946,4.608900984749198,163.64122950471938
fit,ProbeEntropy_score_ms,2100,0.10958444293854493,0.08071307092905045,0.08358684135600924,0.0891790259629488,0.10171545436605811,38.01650204695761,230.12733017094433
fit,diagnostic_mass_ms,2100,0.2700019205388214,0.23992406204342842,0.2457331051118672,0.2661379985511303,0.2815393847413361,4.321349086239934,567.0040331315249
fit,WordD_text_ms,2100,0.004476960476190476,0.003366,0.003757,0.004368,0.00539145,0.019607,9.401617
fit,WordD_vectorize_ms,2100,0.29662590857142856,0.25398,0.265402,0.289578,0.34204655,1.283176,622.914408
fit,WordD_LR_ms,2100,0.10054711000000001,0.088267,0.09067195,0.094088,0.11131100000000001,6.24789,211.148931
fit,WordD_feature_head_ms,2100,0.40164997904761907,0.347296,0.36211705,0.38900500000000005,0.44871154999999996,6.547125,843.464956
cal,tokenization_prefix_ms,1366,0.8301305926185357,0.6202817894518375,0.6886112387292087,0.7881294004619122,1.0785965132527053,1.7857360653579235,1133.9583895169199
cal,prepare_transfer_ms,1366,0.11438127531428681,0.0984962098300457,0.10349851800128818,0.11017301585525274,0.137573282700032,0.16724690794944763,156.24482207931578
cal,prefill_projection_ms,1366,41.99578293062621,39.273508824408054,39.75549910683185,42.16759686823934,44.84286066144705,238.91367996111512,57366.239483235404
cal,label_distribution_ms,1366,0.5506856912763388,0.48466608859598637,0.49866538029164076,0.5411180900409818,0.6090690148994327,0.812755897641182,752.2366542834789
cal,probe_core_ms,1366,43.49098048983537,40.5992241576314,41.14080115687102,43.61647611949593,46.57254338962957,240.41246296837926,59408.67934911512
cal,ProbeMax_score_ms,1366,0.07645506940176643,0.06732693873345852,0.06951362593099475,0.07402454502880573,0.08762330980971456,0.19655190408229828,104.43762480281293
cal,ProbeEntropy_score_ms,1366,0.09210017376128,0.08118292316794395,0.08321960922330618,0.08946447633206844,0.1049962593242526,0.15229708515107632,125.80883735790849
cal,diagnostic_mass_ms,1366,0.2692546823306083,0.24100509472191334,0.24634849978610873,0.26692450046539307,0.2823290415108204,0.4789459053426981,367.8018960636109
cal,WordD_text_ms,1366,0.004387608345534407,0.003126,0.003727,0.004328,0.0050975000000000005,0.013836,5.993473
cal,WordD_vectorize_ms,1366,0.2879188828696925,0.251976,0.26331024999999997,0.285154,0.321543,0.375991,393.297194
cal,WordD_LR_ms,1366,0.09529754538799413,0.088186,0.09060925,0.0927155,0.1040645,0.130446,130.176447
cal,WordD_feature_head_ms,1366,0.3876040366032211,0.345693,0.3593865,0.383129,0.42690675,0.474067,529.467114
dev,tokenization_prefix_ms,742,0.8339886475138547,0.6459210999310017,0.6978455814532936,0.8029579184949398,1.0543988668359816,2.363797975704074,618.8195764552802
dev,prepare_transfer_ms,742,0.11441081001691902,0.09855604730546474,0.10410858085379004,0.1110999146476388,0.13234252110123634,0.2930841874331236,84.89282103255391
dev,prefill_projection_ms,742,41.67156563406544,39.33675307780504,39.76991206873208,41.967030498199165,43.5489480383694,48.34867804311216,30920.301700476557
dev,label_distribution_ms,742,0.5501686790556398,0.4897050093859434,0.5027700681239367,0.5430516321212053,0.605188577901572,0.9688010904937983,408.22515985928476
dev,probe_core_ms,742,43.17013377065185,40.72587797418237,41.18380972649902,43.44863607548177,45.27493647765368,50.132849952206016,32032.239257823676
dev,ProbeMax_score_ms,742,0.07616209570378708,0.06800796836614609,0.07017406169325113,0.0743805430829525,0.08478000527247784,0.12154015712440014,56.51227501221001
dev,ProbeEntropy_score_ms,742,0.09206541458702071,0.08178502321243286,0.08383250096812844,0.08972443174570799,0.1009874977171421,0.3309359308332205,68.31253762356937
dev,diagnostic_mass_ms,742,0.2682752376346977,0.24029402993619442,0.24604694917798042,0.2666639629751444,0.28185262344777584,0.6577740423381329,199.0602263249457
dev,WordD_text_ms,742,0.004205180592991914,0.003177,0.003467,0.004038,0.005283999999999992,0.022122,3.120244
dev,WordD_vectorize_ms,742,0.3019420040431267,0.258369,0.2707625,0.294702,0.33623794999999995,1.959684,224.04096700000002
dev,WordD_LR_ms,742,0.09815210377358491,0.088868,0.09100345,0.0952395,0.11139955,0.388745,72.828861
dev,WordD_feature_head_ms,742,0.40429928840970353,0.353779,0.368145,0.39509700000000003,0.44154899999999997,2.370541,299.990072
dev,ProbeMax_measured_selective_overhead_ms,742,43.24691884883543,40.79577898000717,41.25887058041132,43.5243849462896,45.350712890135405,50.215145846524,32089.213785835887
dev,ProbeEntropy_measured_selective_overhead_ms,742,43.26280663537364,40.809987073052284,41.27398482997317,43.56084892773377,45.37277645985821,50.23063396368146,32101.002523447245
dev,WordD_measured_selective_overhead_ms,742,0.40500372776280313,0.35443,0.3687515,0.395798,0.44227195,2.371523,300.51276599999994
