dataset,split,N,R_correct,R_acc_pct,R_invalid,R_invalid_pct,Text_correct,Text_acc_pct,Text_invalid,Text_invalid_pct,C2C_correct,C2C_acc_pct,C2C_invalid,C2C_invalid_pct
obqa,fit,2100,831,39.57142857142857,98,4.666666666666667,1049,49.95238095238095,67,3.1904761904761907,972,46.285714285714285,146,6.9523809523809526
obqa,cal,1366,534,39.09224011713031,61,4.465592972181552,676,49.487554904831626,37,2.7086383601756956,649,47.510980966325036,102,7.46705710102489
obqa,dev,742,285,38.40970350404313,25,3.3692722371967654,333,44.878706199460915,20,2.6954177897574123,358,48.24797843665768,51,6.873315363881401
arc,fit,670,249,37.16417910447761,59,8.805970149253731,332,49.55223880597015,29,4.3283582089552235,367,54.776119402985074,36,5.373134328358209
arc,cal,448,174,38.839285714285715,50,11.160714285714286,239,53.348214285714285,26,5.803571428571429,255,56.919642857142854,25,5.580357142857143
arc,dev,299,110,36.78929765886288,32,10.702341137123746,145,48.49498327759197,14,4.682274247491639,146,48.82943143812709,17,5.68561872909699
