pair,setting,split,unit,N,reference,q,threshold,mode,omitted,coverage,changed,changed_over_omitted,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,correct_R,correct_reference,correct_policy,accuracy_R,accuracy_reference,accuracy_policy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy,invalid_rate_R,invalid_rate_reference
medium,medium/MMLU-Pro/Text,fit,raw_rows_descriptive,3093,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1273,0.41157452311671516,0.7138532323921168,0.6087138670232862,higher u predicts R/reference disagreement,923,1010,1010,0.2984157775622373,0.32654380860006466,0.32654380860006466,0.0,0,0,0,172,17,1296,17,0.05560944067248626,0.005496281926931782
medium,medium/MMLU-Pro/C2C,fit,raw_rows_descriptive,3093,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1595,0.5156805690268348,0.7724401605484429,0.731638582244047,higher u predicts R/reference disagreement,923,622,622,0.2984157775622373,0.20109925638538637,0.20109925638538637,0.0,0,0,0,172,17,1296,1296,0.05560944067248626,0.4190106692531523
medium,medium/MMLU-Pro/Text,cal,group_representatives,6000,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,2584,0.43066666666666664,0.7259952595145047,0.64636081145061,higher u predicts R/reference disagreement,1780,1949,1949,0.2966666666666667,0.3248333333333333,0.3248333333333333,0.0,0,0,0,329,31,2592,31,0.05483333333333333,0.005166666666666667
medium,medium/MMLU-Pro/C2C,cal,group_representatives,6000,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,3267,0.5445,0.7558211370039863,0.7397121359858083,higher u predicts R/reference disagreement,1780,1143,1143,0.2966666666666667,0.1905,0.1905,0.0,0,0,0,329,31,2592,2592,0.05483333333333333,0.432
medium,medium/MMLU-Pro/Text,cal,raw_rows_descriptive,6196,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,2656,0.4286636539703034,0.726878116278674,0.6443321037450841,higher u predicts R/reference disagreement,1845,2021,2021,0.2977727566171724,0.3261781794706262,0.3261781794706262,0.0,0,0,0,341,32,2654,32,0.05503550677856682,0.005164622336991607
medium,medium/MMLU-Pro/C2C,cal,raw_rows_descriptive,6196,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,3359,0.5421239509360878,0.7577840266885412,0.739232480352497,higher u predicts R/reference disagreement,1845,1195,1195,0.2977727566171724,0.19286636539703034,0.19286636539703034,0.0,0,0,0,341,32,2654,2654,0.05503550677856682,0.42834086507424146
medium,medium/MMLU-Pro/Text,dev,group_representatives,2641,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1128,0.42711094282468764,0.7165514125803323,0.6244511243632501,higher u predicts R/reference disagreement,813,913,913,0.3078379401741764,0.345702385460053,0.345702385460053,0.0,0,0,0,160,18,1124,18,0.0605831124574025,0.006815600151457781
medium,medium/MMLU-Pro/C2C,dev,group_representatives,2641,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1410,0.5338886785308595,0.7652413133530371,0.7484773044279011,higher u predicts R/reference disagreement,813,530,530,0.3078379401741764,0.20068156001514578,0.20068156001514578,0.0,0,0,0,160,18,1124,1124,0.0605831124574025,0.42559636501325254
medium,medium/MMLU-Pro/Text,dev,raw_rows_descriptive,2743,Text,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1162,0.4236237695953336,0.7190091349404122,0.623734515613183,higher u predicts R/reference disagreement,859,961,961,0.3131607728764127,0.35034633612832666,0.35034633612832666,0.0,0,0,0,161,18,1148,18,0.05869485964272694,0.006562158220925993
medium,medium/MMLU-Pro/C2C,dev,raw_rows_descriptive,2743,C2C,0.0,,fixed_reference,0,0.0,0,0/0,,0.0,,1445,0.5267954794021145,0.7654568380420237,0.7428334404071029,higher u predicts R/reference disagreement,859,564,564,0.3131607728764127,0.2056142909223478,0.2056142909223478,0.0,0,0,0,161,18,1148,1148,0.05869485964272694,0.41851986875683556
