pair,dataset,family,fold,action,scope,predictor,n,positive,positive_rate,ROC_AUC,AP,log_loss,NA_reason
large,obqa,word,2,A,all,FFR_E0,693,10,0.01443001443001443,0.6143484626647145,0.04428140928770608,0.07562660315856927,
large,obqa,word,2,A,all,constant_flip_rate,693,10,0.01443001443001443,0.5,0.01443001443001443,0.07631509634413011,
large,obqa,word,2,A,both_R_and_action_valid_diagnostic_only,FFR_E0,688,6,0.00872093023255814,0.40078201368523947,0.007941210136506852,0.0505163863546435,
large,obqa,word,2,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,688,6,0.00872093023255814,0.5,0.00872093023255814,0.05013705077477867,
large,obqa,word,3,T,all,FFR_E0,693,65,0.09379509379509379,0.5651151396374327,0.11746425175620528,0.3104292177084533,
large,obqa,word,3,T,all,constant_flip_rate,693,65,0.09379509379509379,0.5,0.09379509379509379,0.31155066453568375,
large,obqa,word,3,T,both_R_and_action_valid_diagnostic_only,FFR_E0,692,64,0.09248554913294797,0.5739201831210191,0.11783196450492489,0.30670642056933467,
large,obqa,word,3,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,692,64,0.09248554913294797,0.5,0.09248554913294797,0.3086926013684202,
large,obqa,word,3,C,all,FFR_E0,693,60,0.08658008658008658,0.5680621379673513,0.10033333227407074,0.2937083177884892,
large,obqa,word,3,C,all,constant_flip_rate,693,60,0.08658008658008658,0.5,0.08658008658008658,0.29469879997340015,
large,obqa,word,3,C,both_R_and_action_valid_diagnostic_only,FFR_E0,691,58,0.08393632416787265,0.5717709865446424,0.0974638618785032,0.28709440550687126,
large,obqa,word,3,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,691,58,0.08393632416787265,0.5,0.08393632416787265,0.2883079570554234,
large,obqa,word,3,A,all,FFR_E0,693,4,0.005772005772005772,0.5743831640058055,0.015865338162134306,0.03730823181605196,
large,obqa,word,3,A,all,constant_flip_rate,693,4,0.005772005772005772,0.5,0.005772005772005772,0.03767013837086391,
large,obqa,word,3,A,both_R_and_action_valid_diagnostic_only,FFR_E0,690,2,0.002898550724637681,0.9178779069767441,0.025595238095238095,0.024293275003037976,
large,obqa,word,3,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,690,2,0.002898550724637681,0.5,0.002898550724637681,0.025058579670517035,
large,obqa,word,4,T,all,FFR_E0,693,82,0.11832611832611832,0.5164863678096683,0.12287095643776287,0.3692124121646406,
large,obqa,word,4,T,all,constant_flip_rate,693,82,0.11832611832611832,0.5,0.11832611832611832,0.3664792890676078,
large,obqa,word,4,T,both_R_and_action_valid_diagnostic_only,FFR_E0,691,80,0.11577424023154848,0.5152618657937807,0.1195607156153967,0.36358595414460276,
large,obqa,word,4,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,691,80,0.11577424023154848,0.5,0.11577424023154848,0.3607332495498022,
large,obqa,word,4,C,all,FFR_E0,693,61,0.08802308802308802,0.5616569827765097,0.11439539853541075,0.2966570984743726,
large,obqa,word,4,C,all,constant_flip_rate,693,61,0.08802308802308802,0.5,0.08802308802308802,0.29821750284142556,
large,obqa,word,4,C,both_R_and_action_valid_diagnostic_only,FFR_E0,689,57,0.08272859216255443,0.5664834554741284,0.10930593343503328,0.28352469305157263,
large,obqa,word,4,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,689,57,0.08272859216255443,0.5,0.08272859216255443,0.2853935112971465,
large,obqa,word,4,A,all,FFR_E0,693,11,0.015873015873015872,0.4604105571847507,0.015194379932206011,0.08363159075019738,
large,obqa,word,4,A,all,constant_flip_rate,693,11,0.015873015873015872,0.5,0.015873015873015872,0.08315055008664878,
