pair,dataset,family,n_actions,lambda,n,version,panel_accuracy,action_cost_replay_ms,cost_scope
large,obqa,semantic,4,0.03,128,updated_V2,0.8203125,292.8073058671875,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.1,128,old_V2_rescored,0.8125,257.1603401484375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.1,128,updated_V2,0.8125,257.1603401484375,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,0.3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,1,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,1,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,3,128,old_V2_rescored,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,3,128,updated_V2,0.8125,254.514272515625,old panel action-only replay; new router overhead unmeasured; not new full latency
large,obqa,semantic,4,NA,128,fixed_R,0.8125,254.514272515625,old panel action-only replay; fixed action
large,obqa,semantic,4,NA,128,fixed_T,0.8828125,993.8901472421874,old panel action-only replay; fixed action
large,obqa,semantic,4,NA,128,fixed_C,0.7890625,347.017202890625,old panel action-only replay; fixed action
large,obqa,semantic,4,NA,128,fixed_A,0.8203125,286.6951911015625,old panel action-only replay; fixed action
small,obqa,word,3,0,128,old_V2_rescored,0.5390625,495.3026569375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0,128,updated_V2,0.5390625,533.8414054609375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.01,128,old_V2_rescored,0.515625,459.5593476875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.01,128,updated_V2,0.5078125,455.4262462109375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.03,128,old_V2_rescored,0.5234375,425.600830734375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.03,128,updated_V2,0.5234375,428.36531502343746,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.1,128,old_V2_rescored,0.515625,374.24942323437494,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.1,128,updated_V2,0.515625,375.21558246875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.3,128,old_V2_rescored,0.515625,354.3418359296875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,0.3,128,updated_V2,0.5078125,355.540090828125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,1,128,old_V2_rescored,0.453125,322.252294046875,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,1,128,updated_V2,0.453125,322.62482915625003,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,3,128,old_V2_rescored,0.4375,295.94212253125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,3,3,128,updated_V2,0.4375,295.94212253125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0,128,old_V2_rescored,0.5390625,493.64465085937496,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0,128,updated_V2,0.5390625,532.1833993828125,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.01,128,old_V2_rescored,0.515625,456.2782174609375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.01,128,updated_V2,0.5078125,452.145115984375,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.03,128,old_V2_rescored,0.5234375,425.886058640625,old panel action-only replay; new router overhead unmeasured; not new full latency
small,obqa,word,4,0.03,128,updated_V2,0.5234375,428.6505429296875,old panel action-only replay; new router overhead unmeasured; not new full latency
