pair,dataset,family,fold,action,validity_scope,n,flip_count,flip_rate,gain_count,harm_count,zero_gain_flip_count,R_accuracy,action_accuracy
large,obqa,word,3,C,action_invalid_only,1,1,1.0,0,0,1,0.0,0.0
large,obqa,word,3,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,3,A,all,693,4,0.005772005772005772,1,1,2,0.8124098124098124,0.8124098124098124
large,obqa,word,3,A,both_valid,690,2,0.002898550724637681,1,1,0,0.8159420289855073,0.8159420289855073
large,obqa,word,3,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,3,A,action_invalid_only,2,2,1.0,0,0,2,0.0,0.0
large,obqa,word,3,A,both_invalid,1,0,0.0,0,0,0,0.0,0.0
large,obqa,word,4,T,all,693,82,0.11832611832611832,48,20,14,0.797979797979798,0.8383838383838383
large,obqa,word,4,T,both_valid,691,80,0.11577424023154848,48,19,13,0.7988422575976846,0.8408104196816208
large,obqa,word,4,T,R_invalid_only,1,1,1.0,0,0,1,0.0,0.0
large,obqa,word,4,T,action_invalid_only,1,1,1.0,0,1,0,1.0,0.0
large,obqa,word,4,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,4,C,all,693,61,0.08802308802308802,16,30,15,0.797979797979798,0.7777777777777778
large,obqa,word,4,C,both_valid,689,57,0.08272859216255443,15,29,13,0.8011611030478955,0.7808417997097242
large,obqa,word,4,C,R_invalid_only,1,1,1.0,1,0,0,0.0,1.0
large,obqa,word,4,C,action_invalid_only,3,3,1.0,0,1,2,0.3333333333333333,0.0
large,obqa,word,4,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,word,4,A,all,693,11,0.015873015873015872,2,4,5,0.797979797979798,0.7950937950937951
large,obqa,word,4,A,both_valid,686,5,0.007288629737609329,2,1,2,0.8017492711370262,0.8032069970845481
large,obqa,word,4,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,obqa,word,4,A,action_invalid_only,6,6,1.0,0,3,3,0.5,0.0
large,obqa,word,4,A,both_invalid,1,0,0.0,0,0,0,0.0,0.0
large,obqa,semantic,pooled,T,all,3466,346,0.0998268897864974,219,71,56,0.8165031736872476,0.859203693017888
large,obqa,semantic,pooled,T,both_valid,3461,341,0.0985264374458249,218,70,53,0.8173938168159491,0.860156024270442
large,obqa,semantic,pooled,T,R_invalid_only,4,4,1.0,1,0,3,0.0,0.25
large,obqa,semantic,pooled,T,action_invalid_only,1,1,1.0,0,1,0,1.0,0.0
large,obqa,semantic,pooled,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,pooled,C,all,3466,287,0.08280438545874207,74,144,69,0.8165031736872476,0.7963069821119446
large,obqa,semantic,pooled,C,both_valid,3455,276,0.07988422575976845,71,141,64,0.8182344428364688,0.7979739507959479
large,obqa,semantic,pooled,C,R_invalid_only,4,4,1.0,3,0,1,0.0,0.75
large,obqa,semantic,pooled,C,action_invalid_only,7,7,1.0,0,3,4,0.42857142857142855,0.0
large,obqa,semantic,pooled,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,obqa,semantic,pooled,A,all,3466,38,0.010963646855164455,12,10,16,0.8165031736872476,0.8170802077322562
