name,B,repeat,subset_file,family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change,M,source_identity
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.05,0.18624601167503863,1366,83,0,0.0,0.01415986911335107,0.07985679847161589,False,0.06076134699853587,0.0,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.1,0.18649916857406756,1366,145,0,0.0,0.0005887389471696061,0.04652272891647608,True,0.1061493411420205,0.0,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.15,0.18670216578896537,1366,212,0,0.0,1.8941061807026406e-05,0.03205861992784294,True,0.15519765739385066,0.0,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.2,0.18684267636951934,1366,261,1,0.0038314176245210726,2.260817003256354e-05,0.0348244060966147,True,0.1910688140556369,0.0007320644216691069,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.25,0.18696482097395806,1366,327,6,0.01834862385321101,0.002663456917309682,0.05422374320697761,False,0.23938506588579794,0.004392386530014641,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.3,0.18708238439981073,1366,383,9,0.02349869451697128,0.007007557061267857,0.05810948225837603,False,0.28038067349926793,0.006588579795021962,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.35,0.18721463709963948,1366,471,13,0.027600849256900213,0.011693341107146732,0.05940914402072168,False,0.34480234260614934,0.00951683748169839,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.4,0.18731846060269897,1366,549,18,0.03278688524590164,0.0338902649224027,0.06337749923258144,False,0.4019033674963397,0.013177159590043924,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.45,0.18741331503202752,1366,606,21,0.034653465346534656,0.04488427795988469,0.06399146707905248,False,0.44363103953147875,0.015373352855051245,100,new_test
R32_r0,32,0,subsets/R32_r0.json,R32_r0,0.5,0.18749983502435708,1366,667,34,0.050974512743628186,0.5908716470462068,0.0827950688028457,False,0.4882869692532943,0.024890190336749635,100,new_test
