B,repeats,selective_accepted_count,utility_crossover_count,cost_accuracy_crossover_count,timing_sensitive_count,range_identity,cal_q_non_NA,cal_q_median,cal_q_min,cal_q_max,n_R_non_NA,n_R_median,n_R_min,n_R_max,coverage_non_NA,coverage_median,coverage_min,coverage_max,changed_non_NA,changed_median,changed_min,changed_max,conditional_risk_non_NA,conditional_risk_median,conditional_risk_min,conditional_risk_max,correct_non_NA,correct_median,correct_min,correct_max,accuracy_non_NA,accuracy_median,accuracy_min,accuracy_max,mean_cost_ms_non_NA,mean_cost_ms_median,mean_cost_ms_min,mean_cost_ms_max,median_cost_ms_non_NA,median_cost_ms_median,median_cost_ms_min,median_cost_ms_max,p95_cost_ms_non_NA,p95_cost_ms_median,p95_cost_ms_min,p95_cost_ms_max,net_saving_Text_ms_non_NA,net_saving_Text_ms_median,net_saving_Text_ms_min,net_saving_Text_ms_max,U_non_NA,U_median,U_min,U_max,delta_U_D_non_NA,delta_U_D_median,delta_U_D_min,delta_U_D_max,delta_U_R2100_non_NA,delta_U_R2100_median,delta_U_R2100_min,delta_U_R2100_max,delta_accuracy_D_non_NA,delta_accuracy_D_median,delta_accuracy_D_min,delta_accuracy_D_max,delta_cost_D_ms_non_NA,delta_cost_D_ms_median,delta_cost_D_ms_min,delta_cost_D_ms_max,dev_AUROC_disagreement_non_NA,dev_AUROC_disagreement_median,dev_AUROC_disagreement_min,dev_AUROC_disagreement_max,dev_AP_disagreement_non_NA,dev_AP_disagreement_median,dev_AP_disagreement_min,dev_AP_disagreement_max,dev_Spearman_D_non_NA,dev_Spearman_D_median,dev_Spearman_D_min,dev_Spearman_D_max
32,5,3,2,1,0,"observed subset repeats, not 95% confidence interval",5,0.15,0.0,0.45,5,138.0,0.0,313.0,5,0.18598382749326145,0.0,0.42183288409703507,5,2.0,0.0,9.0,3,0.021739130434782608,0.013793103448275862,0.02875399361022364,5,645.0,643.0,646.0,5,0.8692722371967655,0.866576819407008,0.8706199460916442,5,887.0749817459542,718.1879182760407,975.7639764578425,5,966.1796200089157,881.9194920406295,980.4035270953394,5,1223.725617479067,1218.3828452960752,1246.9393390993732,5,88.68899471188828,0.0,257.5760581818018,5,0.8357067717620938,0.8320949672747028,0.8392133721628924,5,-0.0004974728822859647,-0.004109277369676964,0.0030091275185126685,5,-0.004019929329080519,-0.007631733816471519,-0.000513328928281886,5,0.0026954177897574125,0.0,0.004043126684636119,5,89.90874582345906,-78.97831764645441,178.59774053534736,5,0.7159618573797678,0.5987354892205639,0.7390339966832504,5,0.21636711179935295,0.12565414942286354,0.2762852536797364,5,0.8444130258174879,0.4363951768205438,0.8929091907796828
128,5,4,1,1,0,"observed subset repeats, not 95% confidence interval",5,0.3,0.0,0.35,5,219.0,0.0,265.0,5,0.29514824797843664,0.0,0.35714285714285715,5,6.0,0.0,7.0,4,0.027665110583913674,0.022641509433962263,0.03139013452914798,5,643.0,640.0,645.0,5,0.866576819407008,0.862533692722372,0.8692722371967655,5,810.3489131238756,764.9960996354711,975.7639764578425,5,951.6123624040142,928.1854430784376,968.2999547035554,5,1223.725617479067,1220.4368294820865,1231.0762675540013,5,165.415063333967,0.0,210.76787682237168,5,0.8356556699174446,0.831941566228197,0.8374299486763259,5,-0.0005485747269352198,-0.004262678416182817,0.0012257040319462106,5,-0.004071031173729774,-0.007785134862977371,-0.002296752414848344,5,0.0,-0.004043126684636119,0.0026954177897574125,5,13.182677201380377,-32.170136287024285,178.59774053534736,5,0.7445480928689884,0.6461857379767828,0.7549336650082918,5,0.2571405518740425,0.16328810148596226,0.27318901951884517,5,0.9414165474221527,0.5855659107646207,0.9839593553421788
512,5,5,3,2,0,"observed subset repeats, not 95% confidence interval",5,0.3,0.2,0.45,5,234.0,142.0,326.0,5,0.31536388140161725,0.19137466307277629,0.4393530997304582,5,5.0,3.0,12.0,5,0.021367521367521368,0.014084507042253521,0.03680981595092025,5,644.0,640.0,644.0,5,0.8679245283018868,0.862533692722372,0.8679245283018868,5,793.7167702021868,706.6500207518503,883.6034333153929,5,941.6268408838944,877.2715726629415,978.4364644209481,5,1225.0128490274562,1217.0735019229721,1246.9393390993732,5,182.0472062556558,92.16054314244967,269.1139557059922,5,0.8368635121481848,0.8342586376387804,0.8385564221905919,5,0.0006592675038050102,-0.0019456070055994144,0.002352177546212189,5,-0.0028631889429895454,-0.005468063452393969,-0.0011702789005823653,5,0.0013477088948787063,-0.004043126684636119,0.0013477088948787063,5,-3.449465720308405,-90.51621517064487,86.43719739289769,5,0.7592868988391377,0.7551824212271974,0.7671641791044775,5,0.2767774730231278,0.2711670834591741,0.28327713606357485,5,0.9824092048133448,0.9680676687176277,0.9897197219921995
