setting,original_q,ruleD_q,ruleD_all_accepted_q,cal_N,cal_receiver_parses,cal_n_at_ruleD_q,cal_k_at_ruleD_q,cal_p_at_ruleD_q,cal_CP999_at_ruleD_q,dev_N,dev_receiver_parses,dev_omitted,dev_coverage_pct_of_all,dev_coverage_pct_of_parseable,dev_changed_over_omitted,dev_conditional_change_rate,dev_policy_equals_reference,dev_accuracy_policy_vs_gold,dev_accuracy_reference_vs_gold,dev_accuracy_receiver_only_vs_gold,dev_correct_policy,dev_correct_reference,verdict,gold_source,label
large/ARC/Text,0.95,0.95,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95,448,448,422,4,4.8015e-06,0.0346117,299,299,284,94.98,94.98,9/284,0.03169,96.99,90.30,91.64,89.63,270,274,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/ARC/C2C,0.9,0.9,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9,448,448,404,7,0.000539697,0.0478253,299,299,270,90.30,90.30,3/270,0.01111,99.00,89.30,88.96,89.63,267,266,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/Text,0.4,0.4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,6000,5983,2357,66,7.45874e-08,0.0401252,2641,2635,1068,40.44,40.53,39/1068,0.03652,98.52,50.06,49.94,48.54,1322,1319,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/MMLU-Pro/C2C,0.4,0.4,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4,6000,5983,2357,74,6.31358e-06,0.0441027,2641,2635,1068,40.44,40.53,36/1068,0.03371,98.64,47.63,46.69,48.54,1258,1233,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/Text,0.0,no candidate accepted,none,6000,5627,,,,,2641,2490,0,0.00,0.00,0/0,,100.00,19.54,19.54,15.26,516,516,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
small/MMLU-Pro/C2C,0.0,no candidate accepted,none,6000,5627,,,,,2641,2490,0,0.00,0.00,0/0,,100.00,17.49,17.49,15.26,462,462,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/Text,0.0,no candidate accepted,none,6000,5671,,,,,2641,2481,0,0.00,0.00,0/0,,100.00,34.57,34.57,30.78,913,913,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
medium/MMLU-Pro/C2C,0.0,no candidate accepted,none,6000,5671,,,,,2641,2481,0,0.00,0.00,0/0,,100.00,20.07,20.07,30.78,530,530,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/Text,0.0,no candidate accepted,none,1366,1305,,,,,742,717,0,0.00,0.00,0/0,,100.00,44.88,44.88,38.41,333,333,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/OBQA/C2C,0.0,no candidate accepted,none,1366,1305,,,,,742,717,0,0.00,0.00,0/0,,100.00,48.25,48.25,38.41,358,358,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/Text,0.0,no candidate accepted,none,448,398,,,,,299,267,0,0.00,0.00,0/0,,100.00,48.49,48.49,36.79,145,145,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X1-Llama/ARC/C2C,0.0,no candidate accepted,none,448,398,,,,,299,267,0,0.00,0.00,0/0,,100.00,48.83,48.83,36.79,146,146,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X2-OLMo/OBQA/Text,0.0,no candidate accepted,none,1366,1307,,,,,742,721,0,0.00,0.00,0/0,,100.00,69.54,69.54,71.56,516,516,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X2-OLMo/ARC/Text,0.0,no candidate accepted,none,448,407,,,,,299,263,0,0.00,0.00,0/0,,100.00,74.25,74.25,68.23,222,222,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
X2-OLMo/MMLU-Pro/Text,0.0,no candidate accepted,none,6000,4975,,,,,2641,2191,0,0.00,0.00,0/0,,100.00,25.14,25.14,22.38,664,664,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
large/OBQA/Text+fact,0.75,0.75,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75,1366,1364,999,22,4.83045e-06,0.0403599,742,742,536,72.24,72.24,13/536,0.02425,98.25,88.95,90.30,83.15,660,670,unchanged,"$DATA_DIR/P2_SCORING_V2_20260912T191445Z/labels/full_{train,development}_P2_SCORING_V2.jsonl (gold) ; $DATA_DIR/P2_MMLU_PRO_BREADTH_PROTOCOL_AND_COST_REVIEW_20260915T224801Z/dataset/test-00000-of-00001.parquet (MMLU-Pro answer)",POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision
