q,threshold,N_cal,routed,changed,coverage,conditional_disagreement,p_value,CP_upper_0_999,accepted,task,reference,pair
0.05,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.1,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.15,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.2,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.25,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.3,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.35,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.4,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.45,0.0,1366,601,36,0.43997071742313326,0.059900166389351084,0.8842951640164337,0.09578028400420299,False,obqa,T,medium
0.5,2.384185791015625e-07,1366,665,50,0.4868228404099561,0.07518796992481203,0.9980465746726621,0.11195823873596993,False,obqa,T,medium
0.55,1.3113021850585938e-06,1366,739,66,0.54099560761347,0.08930987821380243,0.9999970502343264,0.1262116117353548,False,obqa,T,medium
0.6,6.139278411865234e-06,1366,800,89,0.5856515373352855,0.11125,0.9999999999985404,0.14951812675674608,False,obqa,T,medium
0.65,3.540515899658203e-05,1366,880,105,0.6442166910688141,0.11931818181818182,0.9999999999999998,0.15657132651094363,False,obqa,T,medium
0.7,0.0002611875534057617,1366,959,138,0.7020497803806734,0.14389989572471323,1.0,0.18192452160554332,False,obqa,T,medium
0.75,0.0011908411979675293,1366,1019,161,0.7459736456808199,0.15799803729146222,1.0,0.1960268758458672,False,obqa,T,medium
0.8,0.006693124771118164,1366,1089,190,0.7972181551976574,0.17447199265381083,1.0,0.21244474335405597,False,obqa,T,medium
0.85,0.023698091506958008,1366,1155,224,0.8455344070278185,0.19393939393939394,1.0,0.23206326198394422,False,obqa,T,medium
0.9,0.09535020589828491,1366,1219,262,0.8923865300146413,0.21493027071369974,1.0,0.2532226222566875,False,obqa,T,medium
0.95,0.22961032390594482,1366,1293,304,0.9465592972181552,0.23511214230471772,1.0,0.2732703131203788,False,obqa,T,medium
1.0,Infinity,1366,1366,348,1.0,0.2547584187408492,1.0,0.2927117503619878,False,obqa,T,medium
