population,pair,dataset,split,n,id,action,comparison,old_f,old_gain,old_harm,old_zero_gain,old_invalid_pair,old_invalid_flip,V2_f,V2_gain,V2_harm,V2_zero_gain,V2_invalid_pair,V2_invalid_flip,R_source_id,R_source_line,action_source_id,action_source_line,D1_f,D1_gain,D1_harm,D1_zero_gain,D1_invalid_pair,D1_invalid_flip
full,large,obqa,train,3466,14-162,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6864,S006,6863,,,,,,
full,large,obqa,train,3466,14-198,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6913,S006,6915,,,,,,
full,large,obqa,train,3466,14-238,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,6963,S006,6961,,,,,,
full,large,obqa,train,3466,14-268,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,6994,S006,6995,,,,,,
full,large,obqa,train,3466,14-3,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7030,S006,7031,,,,,,
full,large,obqa,train,3466,14-5,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7282,S006,7283,,,,,,
full,large,obqa,train,3466,14-517,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7298,S006,7297,,,,,,
full,large,obqa,train,3466,14-646,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7485,S006,7483,,,,,,
full,large,obqa,train,3466,14-742,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7624,S006,7625,,,,,,
full,large,obqa,train,3466,14-879,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,7791,S006,7789,,,,,,
full,large,obqa,train,3466,14-923,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,7854,S006,7853,,,,,,
full,large,obqa,train,3466,1435,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,8007,S006,8005,,,,,,
full,large,obqa,train,3466,1640,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,8083,S006,8085,,,,,,
full,large,obqa,train,3466,1721,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,8124,S006,8123,,,,,,
full,large,obqa,train,3466,1844,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,8162,S006,8161,,,,,,
full,large,obqa,train,3466,608,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,8405,S006,8406,,,,,,
full,large,obqa,train,3466,7-47,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S006,8810,S006,8809,,,,,,
full,large,obqa,train,3466,7-975,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S006,9154,S006,9155,,,,,,
panel,large,obqa,train,256,14-1382,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S007,301,S007,302,,,,,,
panel,large,obqa,train,256,12-841,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S007,414,S007,416,,,,,,
panel,large,obqa,train,256,12-331,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S007,443,S007,441,,,,,,
full,large,obqa,dev,742,10-959,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,357,S008,355,,,,,,
full,large,obqa,dev,742,12-773,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,906,S008,905,,,,,,
full,large,obqa,dev,742,12-928,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,955,S008,957,,,,,,
full,large,obqa,dev,742,13-216,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1043,S008,1044,,,,,,
full,large,obqa,dev,742,14-1123,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1302,S008,1301,,,,,,
full,large,obqa,dev,742,14-129,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1347,S008,1345,,,,,,
full,large,obqa,dev,742,14-18,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1432,S008,1433,,,,,,
full,large,obqa,dev,742,14-269,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1473,S008,1471,,,,,,
full,large,obqa,dev,742,14-448,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1538,S008,1537,,,,,,
full,large,obqa,dev,742,14-752,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1635,S008,1633,,,,,,
full,large,obqa,dev,742,7-26,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S008,1844,S008,1843,,,,,,
panel,large,obqa,dev,128,14-129,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S009,67,S009,65,,,,,,
panel,large,obqa,dev,128,7-26,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S009,117,S009,119,,,,,,
panel,large,obqa,dev,128,10-959,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S009,405,S009,407,,,,,,
full,large,arc,train,1119,Mercury_SC_401653,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S010,17,S010,18,,,,,,
full,large,arc,train,1119,Mercury_401402,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,33,S010,31,,,,,,
full,large,arc,train,1119,MCAS_2007_8_5171,c2c,old_to_V2,1,0,1,0,0,0,0,0,0,0,0,0,S010,62,S010,61,,,,,,
full,large,arc,train,1119,ACTAAP_2008_7_15,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,172,S010,173,,,,,,
full,large,arc,train,1119,Mercury_7187775,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,186,S010,185,,,,,,
full,large,arc,train,1119,Mercury_7044048,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,269,S010,270,,,,,,
full,large,arc,train,1119,NCEOGA_2013_8_55,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,278,S010,277,,,,,,
full,large,arc,train,1119,Mercury_LBS10002,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,289,S010,291,,,,,,
full,large,arc,train,1119,Mercury_7069458,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,307,S010,309,,,,,,
full,large,arc,train,1119,Mercury_177660,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S010,323,S010,324,,,,,,
full,large,arc,train,1119,Mercury_7216843,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,350,S010,349,,,,,,
full,large,arc,train,1119,NYSEDREGENTS_2009_8_7,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,694,S010,695,,,,,,
full,large,arc,train,1119,NCEOGA_2013_5_38,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S010,944,S010,943,,,,,,
full,large,arc,train,1119,Mercury_7220220,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,946,S010,947,,,,,,
full,large,arc,train,1119,MDSA_2011_8_25,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1018,S010,1019,,,,,,
full,large,arc,train,1119,MSA_2015_8_31,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1027,S010,1029,,,,,,
full,large,arc,train,1119,Mercury_7210263,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1043,S010,1044,,,,,,
full,large,arc,train,1119,Mercury_7210000,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1068,S010,1067,,,,,,
full,large,arc,train,1119,MCAS_2011_5_17,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1097,S010,1098,,,,,,
full,large,arc,train,1119,Mercury_7026338,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1099,S010,1101,,,,,,
full,large,arc,train,1119,MCAS_2006_9_27,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1104,S010,1103,,,,,,
full,large,arc,train,1119,MEAP_2005_8_46,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1122,S010,1121,,,,,,
full,large,arc,train,1119,MCAS_2008_8_5711,c2c,old_to_V2,1,0,0,1,1,1,1,1,0,0,0,0,S010,1185,S010,1183,,,,,,
full,large,arc,train,1119,Mercury_7185448,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1198,S010,1199,,,,,,
full,large,arc,train,1119,MCAS_2004_9_20-v1,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1284,S010,1283,,,,,,
full,large,arc,train,1119,Mercury_7211873,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1297,S010,1299,,,,,,
full,large,arc,train,1119,Mercury_7181965,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1367,S010,1368,,,,,,
full,large,arc,train,1119,MCAS_2005_9_19,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S010,1459,S010,1461,,,,,,
full,large,arc,train,1119,Mercury_LBS10444,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1491,S010,1489,,,,,,
full,large,arc,train,1119,Mercury_415092,c2c,old_to_V2,1,0,1,0,1,1,1,0,1,0,0,0,S010,1547,S010,1548,,,,,,
full,large,arc,train,1119,Mercury_7145478,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1583,S010,1584,,,,,,
full,large,arc,train,1119,Mercury_7017168,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1617,S010,1615,,,,,,
full,large,arc,train,1119,MDSA_2007_8_54,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1657,S010,1659,,,,,,
full,large,arc,train,1119,NCEOGA_2013_8_24,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1666,S010,1667,,,,,,
full,large,arc,train,1119,NYSEDREGENTS_2009_8_41,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1671,S010,1669,,,,,,
full,large,arc,train,1119,CSZ_2009_8_CSZ20870,c2c,old_to_V2,1,0,0,1,1,1,1,0,0,1,0,0,S010,1682,S010,1681,,,,,,
full,large,arc,train,1119,Mercury_406888,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1702,S010,1703,,,,,,
full,large,arc,train,1119,Mercury_407023,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1736,S010,1735,,,,,,
full,large,arc,train,1119,Mercury_LBS10257,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1779,S010,1777,,,,,,
full,large,arc,train,1119,Mercury_412527,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1817,S010,1818,,,,,,
full,large,arc,train,1119,Mercury_7122570,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,1925,S010,1926,,,,,,
full,large,arc,train,1119,Mercury_400761,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2062,S010,2063,,,,,,
full,large,arc,train,1119,Mercury_7219083,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2132,S010,2131,,,,,,
full,large,arc,train,1119,Mercury_7246873,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S010,2152,S010,2153,,,,,,
full,large,arc,train,1119,Mercury_410719,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S010,2184,S010,2183,,,,,,
full,large,arc,train,1119,Mercury_SC_401180,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2204,S010,2203,,,,,,
full,large,arc,train,1119,MCAS_1999_4_2,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2206,S010,2207,,,,,,
full,large,arc,train,1119,Mercury_SC_400200,c2c,old_to_V2,1,0,1,0,0,0,0,0,0,0,0,0,S010,2247,S010,2245,,,,,,
full,large,arc,train,1119,Mercury_7106330,c2c,old_to_V2,1,0,0,1,1,1,0,0,0,0,0,0,S010,2249,S010,2250,,,,,,
full,large,arc,train,1119,Mercury_415080,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2251,S010,2253,,,,,,
full,large,arc,train,1119,NYSEDREGENTS_2011_4_24,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2373,S010,2371,,,,,,
full,large,arc,train,1119,MCAS_2005_8_15,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2557,S010,2559,,,,,,
full,large,arc,train,1119,Mercury_7245910,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2566,S010,2567,,,,,,
full,large,arc,train,1119,Mercury_7270305,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2625,S010,2623,,,,,,
full,large,arc,train,1119,Mercury_7084420,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2735,S010,2736,,,,,,
full,large,arc,train,1119,Mercury_7193935,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2755,S010,2757,,,,,,
full,large,arc,train,1119,CSZ30494,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2814,S010,2813,,,,,,
full,large,arc,train,1119,Mercury_405773,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2895,S010,2893,,,,,,
full,large,arc,train,1119,Mercury_7187005,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,2933,S010,2934,,,,,,
full,large,arc,train,1119,Mercury_SC_400673,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,3021,S010,3019,,,,,,
full,large,arc,train,1119,Mercury_7132038,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,3165,S010,3163,,,,,,
full,large,arc,train,1119,MCAS_1998_8_7,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,3187,S010,3189,,,,,,
full,large,arc,train,1119,AKDE&ED_2012_8_5,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,3219,S010,3217,,,,,,
full,large,arc,train,1119,NYSEDREGENTS_2007_8_6,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,3259,S010,3261,,,,,,
full,large,arc,train,1119,Mercury_7220273,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S010,3320,S010,3319,,,,,,
full,large,arc,train,1119,MCAS_1998_4_9,acw,old_to_V2,1,0,1,0,0,0,1,0,1,0,1,1,S010,2827,S011,247,,,,,,
panel,large,arc,train,256,Mercury_415080,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,9,S011,10,,,,,,
panel,large,arc,train,256,Mercury_7211873,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,67,S011,65,,,,,,
panel,large,arc,train,256,Mercury_7270305,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,97,S011,99,,,,,,
panel,large,arc,train,256,Mercury_7220273,c2c,old_to_V2,1,0,1,0,1,1,0,0,0,0,0,0,S011,126,S011,128,,,,,,
