reference,population,N_used,policy_mean_ms,policy_median_ms,reference_mean_ms,reference_median_ms,net_saving_ms,probe_mean_ms,selector_mean_ms,online_probe_selector_mean_ms,all_online_control_mean_ms,policy_U,reference_U,delta_U,lambda,c_ref_ms
T,primary_groups,1172,362.0171343693955,324.4880699785426,1047.6500781234306,1030.4902310017496,685.6329437540352,42.54531150992877,0.000967904003559526,42.54627941393233,42.72544064535998,0.9079400015804912,0.886521374614851,0.021418626965640012,0.01,266.9407253203125
C,primary_groups,1172,323.5563614555482,324.3660924490541,414.4826702463263,381.95097143761814,90.92630879077807,40.506566269561624,0.000984026135005845,40.50755029569663,40.68854501003673,0.893169195732093,0.886349990525779,0.006819205206314124,0.01,266.9407253203125
T,raw_rows,1172,362.0171343693955,324.4880699785426,1047.6500781234306,1030.4902310017496,685.6329437540352,42.54531150992877,0.000967904003559526,42.54627941393233,42.72544064535998,0.9079400015804912,0.886521374614851,0.021418626965640012,0.01,266.9407253203125
C,raw_rows,1172,323.5563614555482,324.3660924490541,414.4826702463263,381.95097143761814,90.92630879077807,40.506566269561624,0.000984026135005845,40.50755029569663,40.68854501003673,0.893169195732093,0.886349990525779,0.006819205206314124,0.01,266.9407253203125
