historical_pair,task,medium_question_count,R_mean_ms,Text_mean_ms,C2C_mean_ms,ProbeMax_mean_ms,projected_wall_seconds
small,obqa,4208,295.2237855390625,899.4116217734374,361.868204640625,33.01413241611615,6688.690668305766
small,arc,1418,340.99512340625,1204.8778762031252,440.064044171875,34.45712577933196,2864.918932436906
large,obqa,4208,254.514272515625,993.8901472421874,347.017202890625,44.0138292504641,6898.744381590577
large,arc,1418,266.6171222734375,1060.6606055078125,422.5938222109375,47.21645723597497,2548.2707942495344
