dataset,split,N,R_correct,T_correct,R_acc,T_acc
obqa,fit,2100,1685,1775,0.8023809523809524,0.8452380952380952
obqa,cal,1366,1070,1149,0.7833089311859444,0.8411420204978038
obqa,dev,742,603,636,0.8126684636118598,0.8571428571428571
arc,fit,670,554,576,0.826865671641791,0.8597014925373134
arc,cal,448,377,395,0.8415178571428571,0.8816964285714286
arc,dev,299,239,260,0.7993311036789298,0.8695652173913043
