setting,N_cal_bothparse,N_cal,N_dev_bothparse,N_dev,bothparse_q,bothparse_accepted_q,min_p,min_p_q,min_p_k,min_p_n,dev_disagreement_bothparse,dev_AUROC_bothparse_MW,dev_bothparse_coverage,dev_bothparse_omitted,dev_bothparse_changed,dev_bothparse_change_rate,dev_bothparse_change_CP95_lo,dev_bothparse_change_CP95_hi,dev_coverage_of_all_dev,label
obqa/Text,1365,1366,741,742,0.6,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,2.071000843562498e-08,0.35,2,457,0.11470985155195682,0.8731527977044476,0.5910931174089069,438,7,0.01598173515981735,0.006449007869591801,0.0326500247877282,0.5902964959568733,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,448,448,299,299,0.7,0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7,2.7123084951893553e-05,0.45,0,205,0.12374581939799331,0.8804415102125026,0.6889632107023411,206,4,0.019417475728155338,0.005315335388847767,0.048967585055972165,0.6889632107023411,"DIAGNOSTIC (descriptive, not deployable)"
