setting,cal_agreement_oA_vs_native_R,cal_disagreement_rate_argmax,q_A,accepted_q,min_p,min_p_q,min_p_k,min_p_n,dev_disagreements_argmax,dev_AUROC_u_argmax_label_MW,dev_argmax_coverage,dev_argmax_omitted,dev_argmax_changed,dev_argmax_change_rate,dev_argmax_change_CP95_lo,dev_argmax_change_CP95_hi,dev_share_argmax_disagreements_with_INVALID_Text,label
obqa/Text,0.9956076134699854,0.15885797950219618,0.6,0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6,2.071000843562498e-08,0.35,2,457,86,0.8745923142370958,0.5902964959568733,438,7,0.01598173515981735,0.006449007869591801,0.0326500247877282,0.0,E13-5 style post hoc family (descriptive)
arc/Text,0.9933035714285714,0.09151785714285714,0.7,0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7,2.7123084951893553e-05,0.45,0,205,37,0.8804415102125026,0.6889632107023411,206,4,0.019417475728155338,0.005315335388847767,0.048967585055972165,0.0,E13-5 style post hoc family (descriptive)
