policy,population,q,tau,N,u_rot_zero_share,n_omitted,coverage,coverage_orig,n_orig,k,k_over_n,CP95_lo,CP95_hi,p_one_sided_H0_rho_ge_.05,k_at_u_rot_0,n_at_u_rot_0,k_at_u_rot_gt_0,n_at_u_rot_gt_0,orig_k,orig_n,orig_k_over_n,orig_CP95_hi,orig_k_recomputed_from_stored,orig_n_recomputed_from_stored
large/ARC/Text,arc,0.95,0.01800704002380371,1172,0.7209897610921502,1100,0.9385665529010239,0.9385665529010239,1100,27,0.024545454545454544,0.016236492855413516,0.0355125267096712,1.5151604246518971e-05,0,845,27,255,20,1100,0.01818181818181818,0.027941229300566528,20,1100
large/ARC/C2C,arc,0.9,0.0007095932960510254,1172,0.7209897610921502,1049,0.8950511945392492,0.893344709897611,1047,18,0.017159199237368923,0.010200523341964855,0.026983787572574146,1.9395553679722874e-08,3,845,15,204,11,1047,0.010506208213944603,0.018720593168345675,11,1047
large/OBQA/Text,obqa,0.8,0.001170039176940918,744,0.46102150537634407,582,0.782258064516129,0.7997311827956989,595,13,0.022336769759450172,0.011945733920484342,0.03789368593185065,0.000540264319051326,1,343,12,239,12,595,0.020168067226890758,0.03496433812646629,12,595
large/OBQA/C2C,obqa,0.8,0.001170039176940918,744,0.46102150537634407,582,0.782258064516129,0.7997311827956989,595,12,0.020618556701030927,0.010698198562878177,0.035739274013095165,0.00022225905400520386,1,343,11,239,13,595,0.021848739495798318,0.037072229084949164,13,595
large/OBQA/Text+fact,obqa,0.75,0.0002611875534057617,744,0.46102150537634407,545,0.7325268817204301,0.75,558,14,0.025688073394495414,0.014113485836319759,0.042724912476720105,0.003381107877569288,2,343,12,202,16,558,0.02867383512544803,0.046147654682029395,16,558
