split,family,q,threshold,cal_accepted,final_deployment,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high
fit,R,0.25,0.14677750415404223,True,False,2100,525,0.25,1,0.0019047619047619048,0.0004761904761904762,1,0,0,1801,0.8576190476190476,0.0004761904761904762,1,0,0,0,525,4.8223233383051114e-05,0.010566562271517742,,,,,,,,,
fit,R,0.3,0.15367244904923216,True,False,2100,630,0.3,4,0.006349206349206349,0.0019047619047619048,2,2,0,1800,0.8571428571428571,0.0,1,0,0,0,630,0.0017325744833284,0.016176112590655222,,,,,,,,,
fit,R,0.35,0.1590408411246479,True,False,2100,735,0.35,9,0.012244897959183673,0.004285714285714286,2,6,1,1796,0.8552380952380952,-0.0019047619047619048,2,0,1,0,734,0.00561401710799765,0.02311689686879193,,,,,,,,,
fit,R,0.4,0.16532099602212336,True,True,2100,840,0.4,13,0.015476190476190477,0.006190476190476191,3,9,1,1794,0.8542857142857143,-0.002857142857142857,2,0,1,0,839,0.008265479577196071,0.02631936098094925,,,,,,,,,
fit,R,0.45,0.1709493339600331,False,False,2100,945,0.45,17,0.01798941798941799,0.008095238095238095,6,9,2,1797,0.8557142857142858,-0.0014285714285714286,1,0,1,1,943,0.010513537936531968,0.028646976767604377,,,,,,,,,
fit,R,0.5,0.17649812580475832,False,False,2100,1050,0.5,22,0.02095238095238095,0.010476190476190476,6,13,3,1793,0.8538095238095238,-0.0033333333333333335,1,0,1,1,1048,0.013176198279963554,0.03155110283782352,,,,,,,,,
fit,R,0.55,0.18327371995228192,False,False,2100,1155,0.55,30,0.025974025974025976,0.014285714285714285,7,20,3,1787,0.8509523809523809,-0.006190476190476191,1,0,1,1,1153,0.017591641694591643,0.03687312862521807,,,,,,,,,
fit,R,0.6,0.19074781808510477,False,False,2100,1260,0.6,39,0.030952380952380953,0.018571428571428572,13,23,3,1790,0.8523809523809524,-0.004761904761904762,1,0,1,1,1258,0.02210082353979875,0.04207169449093243,,,,,,,,,
fit,R,0.65,0.1976087190417628,False,False,2100,1365,0.65,48,0.035164835164835165,0.022857142857142857,14,29,5,1785,0.85,-0.007142857142857143,1,0,1,1,1363,0.026039364775625067,0.04635509489285425,,,,,,,,,
fit,R,0.7,0.20524083299824047,False,False,2100,1470,0.7,64,0.04353741496598639,0.030476190476190476,19,38,7,1781,0.8480952380952381,-0.009047619047619047,1,0,1,1,1468,0.03368778948567829,0.05525887375393825,,,,,,,,,
fit,R,0.75,0.21248436173756335,False,False,2100,1575,0.75,77,0.04888888888888889,0.03666666666666667,22,47,8,1775,0.8452380952380952,-0.011904761904761904,1,0,1,1,1573,0.03877195020440747,0.06072661062311755,,,,,,,,,
fit,R,0.8,0.22006179553703664,False,False,2100,1680,0.8,97,0.05773809523809524,0.04619047619047619,28,60,9,1768,0.8419047619047619,-0.015238095238095238,1,0,1,1,1678,0.04706788302637811,0.06998390244565866,,,,,,,,,
fit,R,0.85,0.23149812757749977,False,False,2100,1785,0.85,117,0.06554621848739496,0.055714285714285716,33,71,13,1762,0.839047619047619,-0.018095238095238095,1,0,1,1,1783,0.05450679075373927,0.07803832077784238,,,,,,,,,
fit,R,0.9,0.24333991959058865,False,False,2100,1890,0.9,148,0.07830687830687831,0.07047619047619047,36,94,18,1742,0.8295238095238096,-0.02761904761904762,1,0,1,1,1888,0.06659215535862643,0.0913490855387565,,,,,,,,,
fit,R,0.95,0.261719957483052,False,False,2100,1995,0.95,174,0.08721804511278196,0.08285714285714285,40,110,24,1730,0.8238095238095238,-0.03333333333333333,1,0,1,1,1993,0.07519977591765388,0.10046493040402739,,,,,,,,,
fit,R,1.0,Infinity,False,False,2100,2100,1.0,203,0.09666666666666666,0.09666666666666666,46,129,28,1717,0.8176190476190476,-0.039523809523809524,2,0,2,1,2097,0.08435950648241218,0.11011231655161621,,,,,,,,,
fit,Diff,0.05,0.013679740316734912,False,False,2100,105,0.05,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,105,0.0,0.03452221412650563,,,,,,,,,
fit,Diff,0.1,0.01757404873527646,False,False,2100,210,0.1,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,210,0.0,0.017412708267863678,,,,,,,,,
fit,Diff,0.15,0.020360565518235507,False,False,2100,315,0.15,1,0.0031746031746031746,0.0004761904761904762,0,1,0,1799,0.8566666666666667,-0.0004761904761904762,1,0,0,0,315,8.037076369803055e-05,0.017559936535118503,,,,,,,,,
fit,Diff,0.2,0.023043689898662345,False,False,2100,420,0.2,4,0.009523809523809525,0.0019047619047619048,2,2,0,1800,0.8571428571428571,0.0,1,0,0,0,420,0.0026008415907086357,0.024204055722296423,,,,,,,,,
fit,Diff,0.25,0.025890845497101078,False,False,2100,525,0.25,6,0.011428571428571429,0.002857142857142857,2,4,0,1798,0.8561904761904762,-0.0009523809523809524,1,0,0,0,525,0.004205314072148128,0.024708260632510956,,,,,,,,,
fit,Diff,0.3,0.028190387142774664,False,False,2100,630,0.3,7,0.011111111111111112,0.0033333333333333335,2,5,0,1797,0.8557142857142858,-0.0014285714285714286,1,0,0,0,630,0.004478589250902752,0.022758459524171576,,,,,,,,,
fit,Diff,0.35,0.031071249279197022,False,False,2100,735,0.35,12,0.0163265306122449,0.005714285714285714,5,7,0,1798,0.8561904761904762,-0.0009523809523809524,1,0,0,0,735,0.008463878796448355,0.028345348838541444,,,,,,,,,
fit,Diff,0.4,0.033016270370298306,False,False,2100,840,0.4,19,0.02261904761904762,0.009047619047619047,7,11,1,1796,0.8552380952380952,-0.0019047619047619048,1,0,0,0,840,0.013671783733674024,0.03509784098868588,,,,,,,,,
fit,Diff,0.45,0.03487732061456217,False,False,2100,945,0.45,23,0.02433862433862434,0.010952380952380953,8,14,1,1794,0.8542857142857143,-0.002857142857142857,1,0,0,0,945,0.015489721079731731,0.036297077276447896,,,,,,,,,
fit,Diff,0.5,0.037276597307819626,False,False,2100,1050,0.5,26,0.024761904761904763,0.012380952380952381,9,15,2,1794,0.8542857142857143,-0.002857142857142857,2,0,1,0,1049,0.01623760369536476,0.036072515006859714,,,,,,,,,
fit,Diff,0.55,0.039738665800783224,False,False,2100,1155,0.55,36,0.03116883116883117,0.017142857142857144,13,21,2,1792,0.8533333333333334,-0.0038095238095238095,2,0,1,0,1154,0.021923773622312986,0.04289138137253803,,,,,,,,,
fit,Diff,0.6,0.042528707186739734,False,False,2100,1260,0.6,49,0.03888888888888889,0.023333333333333334,17,28,4,1789,0.8519047619047619,-0.005238095238095238,1,0,1,1,1258,0.02890615872177301,0.051089524089213564,,,,,,,,,
fit,Diff,0.65,0.045363873322016635,False,False,2100,1365,0.65,57,0.041758241758241756,0.027142857142857142,21,31,5,1790,0.8523809523809524,-0.004761904761904762,1,0,1,1,1363,0.031778021379382924,0.053766690700685967,,,,,,,,,
fit,Diff,0.7,0.048391125919059474,False,False,2100,1470,0.7,71,0.04829931972789116,0.03380952380952381,23,38,10,1785,0.85,-0.007142857142857143,1,0,1,1,1468,0.03791184991892702,0.06053554587625929,,,,,,,,,
fit,Diff,0.75,0.05150182277488857,False,False,2100,1575,0.75,80,0.050793650793650794,0.0380952380952381,30,40,10,1790,0.8523809523809524,-0.004761904761904762,1,0,1,1,1573,0.04047856660605765,0.06282112663409918,,,,,,,,,
fit,Diff,0.8,0.05495314450268218,False,False,2100,1680,0.8,99,0.05892857142857143,0.047142857142857146,31,56,12,1775,0.8452380952380952,-0.011904761904761904,1,0,1,1,1678,0.04814902025238375,0.07127898172389062,,,,,,,,,
fit,Diff,0.85,0.05899105719359188,False,False,2100,1785,0.85,124,0.06946778711484594,0.05904761904761905,39,69,16,1770,0.8428571428571429,-0.014285714285714285,1,0,1,1,1783,0.05810836451907021,0.08226560748940757,,,,,,,,,
fit,Diff,0.9,0.06430356667521742,False,False,2100,1890,0.9,148,0.07830687830687831,0.07047619047619047,39,89,20,1750,0.8333333333333334,-0.023809523809523808,1,0,1,1,1888,0.06659215535862643,0.0913490855387565,,,,,,,,,
fit,Diff,0.95,0.07184769980313588,False,False,2100,1995,0.95,172,0.0862155388471178,0.08190476190476191,42,107,23,1735,0.8261904761904761,-0.030952380952380953,1,0,1,1,1993,0.07426332166051258,0.09939952080154589,,,,,,,,,
fit,Diff,1.0,Infinity,False,False,2100,2100,1.0,203,0.09666666666666666,0.09666666666666666,46,129,28,1717,0.8176190476190476,-0.039523809523809524,2,0,2,1,2097,0.08435950648241218,0.11011231655161621,,,,,,,,,
fit,H,0.05,0.045943813183105135,False,False,2100,105,0.05,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,105,0.0,0.03452221412650563,,,,,,,,,
fit,H,0.1,0.0484861424305195,True,False,2100,210,0.1,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,210,0.0,0.017412708267863678,,,,,,,,,
fit,H,0.15,0.050250763134808224,True,False,2100,315,0.15,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,315,0.0,0.011642424734286007,,,,,,,,,
fit,H,0.2,0.052216939387285145,True,False,2100,420,0.2,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,420,0.0,0.008744588043961133,,,,,,,,,
fit,H,0.25,0.05362096654722128,True,True,2100,525,0.25,3,0.005714285714285714,0.0014285714285714286,1,2,0,1799,0.8566666666666667,-0.0004761904761904762,1,0,0,0,525,0.0011799769243792085,0.01660806254702401,,,,,,,,,
fit,H,0.3,0.05527878170826983,False,False,2100,630,0.3,7,0.011111111111111112,0.0033333333333333335,2,5,0,1797,0.8557142857142858,-0.0014285714285714286,1,0,0,0,630,0.004478589250902752,0.022758459524171576,,,,,,,,,
fit,H,0.35,0.05674748570779616,False,False,2100,735,0.35,9,0.012244897959183673,0.004285714285714286,2,7,0,1795,0.8547619047619047,-0.002380952380952381,1,0,0,0,735,0.00561401710799765,0.02311689686879193,,,,,,,,,
fit,H,0.4,0.05797360744743901,False,False,2100,840,0.4,14,0.016666666666666666,0.006666666666666667,4,9,1,1795,0.8547619047619047,-0.002380952380952381,1,0,0,0,840,0.009141006597750783,0.027805859137257444,,,,,,,,,
fit,H,0.45,0.05916083866108548,False,False,2100,945,0.45,20,0.021164021164021163,0.009523809523809525,6,12,2,1794,0.8542857142857143,-0.002857142857142857,2,0,1,0,944,0.012974303993541143,0.032497590762327035,,,,,,,,,
fit,H,0.5,0.06054404428993229,False,False,2100,1050,0.5,24,0.022857142857142857,0.011428571428571429,6,16,2,1790,0.8523809523809524,-0.004761904761904762,2,0,1,0,1049,0.014698612899942978,0.03381964771899215,,,,,,,,,
fit,H,0.55,0.06213846426496155,False,False,2100,1155,0.55,33,0.02857142857142857,0.015714285714285715,12,18,3,1794,0.8542857142857143,-0.002857142857142857,1,0,1,1,1153,0.019747113766960055,0.039892423529306914,,,,,,,,,
fit,H,0.6,0.06369634690047259,False,False,2100,1260,0.6,44,0.03492063492063492,0.02095238095238095,15,25,4,1790,0.8523809523809524,-0.004761904761904762,1,0,1,1,1258,0.025485794211746505,0.04659776682153881,,,,,,,,,
fit,H,0.65,0.06522160496562059,False,False,2100,1365,0.65,49,0.035897435897435895,0.023333333333333334,16,28,5,1788,0.8514285714285714,-0.005714285714285714,1,0,1,1,1363,0.026672834751118344,0.0471826550856394,,,,,,,,,
fit,H,0.7,0.06693927405430387,False,False,2100,1470,0.7,69,0.04693877551020408,0.032857142857142856,23,38,8,1785,0.85,-0.007142857142857143,1,0,1,1,1468,0.03670177514767877,0.0590310623183226,,,,,,,,,
fit,H,0.75,0.06869357264583029,False,False,2100,1575,0.75,76,0.04825396825396826,0.03619047619047619,24,42,10,1782,0.8485714285714285,-0.008571428571428572,1,0,1,1,1573,0.03820406070666018,0.06002747301220631,,,,,,,,,
fit,H,0.8,0.07021375331710436,False,False,2100,1680,0.8,94,0.055952380952380955,0.04476190476190476,30,53,11,1777,0.8461904761904762,-0.010952380952380953,1,0,1,1,1678,0.04544869651315696,0.06803879919236454,,,,,,,,,
fit,H,0.85,0.07239492941810417,False,False,2100,1785,0.85,117,0.06554621848739496,0.055714285714285716,34,69,14,1765,0.8404761904761905,-0.016666666666666666,1,0,1,1,1783,0.05450679075373927,0.07803832077784238,,,,,,,,,
fit,H,0.9,0.07497978205849046,False,False,2100,1890,0.9,149,0.07883597883597884,0.07095238095238095,39,89,21,1750,0.8333333333333334,-0.023809523809523808,1,0,1,1,1888,0.06708308722777913,0.0919145773785857,,,,,,,,,
fit,H,0.95,0.07908576259385748,False,False,2100,1995,0.95,172,0.0862155388471178,0.08190476190476191,42,106,24,1736,0.8266666666666667,-0.030476190476190476,1,0,1,1,1993,0.07426332166051258,0.09939952080154589,,,,,,,,,
fit,H,1.0,Infinity,False,False,2100,2100,1.0,203,0.09666666666666666,0.09666666666666666,46,129,28,1717,0.8176190476190476,-0.039523809523809524,2,0,2,1,2097,0.08435950648241218,0.11011231655161621,,,,,,,,,
