setting,observed,q0,N_fit,N_cal,prevalence_cal,AUROC_dev,AUROC_cal,share_u0_cal,share_u0_dev
strong-helper/OBQA/Text (E16-5),fallback,0.0,2100,1366,0.21742313323572474,0.7921117099461048,0.7901260815199075,0.43997071742313326,0.4326145552560647
strong-helper/ARC/Text (E16-5),fallback,0.0,670,448,0.12276785714285714,0.8000965250965251,0.8336109183437428,0.5714285714285714,0.5819397993311036
