setting,seed,q
arc,89,0.0
arc,90,0.0
arc,91,0.6
arc,92,0.0
arc,93,0.0
arc,94,0.0
arc,95,0.0
arc,96,0.0
arc,97,0.0
arc,98,0.0
arc,99,0.0
arc,100,0.0
arc,101,0.0
arc,102,0.0
arc,103,0.0
arc,104,0.55
arc,105,0.55
arc,106,0.0
arc,107,0.0
arc,108,0.0
arc,109,0.6
arc,110,0.0
arc,111,0.0
arc,112,0.6
arc,113,0.0
arc,114,0.0
arc,115,0.0
arc,116,0.0
arc,117,0.0
arc,118,0.0
arc,119,0.7
arc,120,0.0
arc,121,0.65
arc,122,0.6
arc,123,0.0
arc,124,0.0
arc,125,0.0
arc,126,0.0
arc,127,0.0
arc,128,0.0
arc,129,0.0
arc,130,0.65
arc,131,0.0
arc,132,0.0
arc,133,0.0
arc,134,0.0
arc,135,0.5
arc,136,0.0
arc,137,0.0
arc,138,0.0
arc,139,0.65
arc,140,0.0
arc,141,0.0
arc,142,0.0
arc,143,0.0
arc,144,0.0
arc,145,0.0
arc,146,0.0
arc,147,0.0
arc,148,0.0
arc,149,0.0
arc,150,0.0
arc,151,0.0
arc,152,0.55
arc,153,0.0
arc,154,0.0
arc,155,0.55
arc,156,0.0
arc,157,0.0
arc,158,0.0
arc,159,0.0
arc,160,0.55
arc,161,0.0
arc,162,0.0
arc,163,0.0
arc,164,0.0
arc,165,0.0
arc,166,0.0
arc,167,0.0
arc,168,0.0
arc,169,0.0
arc,170,0.0
arc,171,0.0
arc,172,0.0
arc,173,0.0
arc,174,0.0
arc,175,0.0
arc,176,0.0
arc,177,0.0
arc,178,0.7
arc,179,0.0
arc,180,0.0
arc,181,0.0
arc,182,0.0
arc,183,0.0
arc,184,0.0
arc,185,0.0
arc,186,0.0
arc,187,0.6
arc,188,0.0
arc,189,0.0
arc,190,0.55
arc,191,0.0
arc,192,0.55
arc,193,0.0
arc,194,0.0
arc,195,0.0
arc,196,0.0
arc,197,0.0
arc,198,0.0
arc,199,0.55
arc,200,0.0
