setting,observed,q0,N_fit,N_cal,prevalence_cal,AUROC_dev,AUROC_cal,share_u0_cal,share_u0_dev,P_certify_devAUROC,modal_q_devAUROC,median_coverage_when_certified_devAUROC,predicted_devAUROC,agree_devAUROC,P_certify_calAUROC,modal_q_calAUROC,median_coverage_when_certified_calAUROC,predicted_calAUROC,agree_calAUROC,AUROC_at_P50,AUROC_at_P50_value,bisection_steps
strong-helper/OBQA/Text (E16-5),fallback,0.0,2100,1366,0.21742313323572474,0.7921117099461048,0.7901260815199075,0.43997071742313326,0.4326145552560647,0.04,0.1,0.14752767866259697,fallback,True,0.0365,0.1,0.14534293910176077,fallback,True,0.8530,0.85295673828125,0.5000:0.000;0.9999:1.000;0.7500:0.000;0.8749:0.809;0.8124:0.112;0.8437:0.398;0.8593:0.589;0.8515:0.486;0.8554:0.539;0.8534:0.513;0.8525:0.498
strong-helper/ARC/Text (E16-5),fallback,0.0,670,448,0.12276785714285714,0.8000965250965251,0.8336109183437428,0.5714285714285714,0.5819397993311036,0.0485,0.4,0.4038750857963293,fallback,True,0.1445,0.4,0.4415984403732065,fallback,True,0.8852,0.8851768554687498,0.5000:0.000;0.9999:1.000;0.7500:0.007;0.8749:0.416;0.9374:0.937;0.9062:0.703;0.8905:0.545;0.8827:0.472;0.8866:0.507;0.8847:0.485;0.8857:0.500
