split,N,disagree_R_vs_TF,disagree_rate,AUROC,acc_R,acc_Text,acc_TF,inv_R,inv_Text,inv_TF,corrective,harmful,omitted,changed_on_omitted
cal,1366,170,0.124451,0.908376,1113,1178,1215,2,0,2,122,20,999,22
dev,742,76,0.102426,0.888593,617,645,670,0,0,0,62,9,536,13
