family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change,source_identity,source_path,comparison_repeat,name,B,repeat,subset_file,M
R2100,0.05,0.11714229392379705,1366,64,0,0.0,0.03752413921111614,0.10231286755268579,False,0.04685212298682284,0.0,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.1,0.12736104171705365,1366,129,0,0.0,0.0013376579723584634,0.052140022347761564,False,0.09443631039531479,0.0,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.15,0.13448889633827654,1366,187,2,0.0106951871657754,0.004029846702331185,0.05858620412451017,False,0.13689604685212298,0.0014641288433382138,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.2,0.14059583531561914,1366,242,3,0.012396694214876033,0.0017670016801383868,0.05286626076659349,False,0.17715959004392387,0.0021961932650073207,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.25,0.14677750415404223,1366,311,4,0.012861736334405145,0.0004495578314934306,0.04675110884762529,True,0.22767203513909223,0.0029282576866764276,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.3,0.15367244904923216,1366,387,6,0.015503875968992248,0.0003172420151450698,0.045948466853728824,True,0.28330893118594436,0.004392386530014641,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.35,0.1590408411246479,1366,449,8,0.017817371937639197,0.0003337836241248031,0.046431972918144854,True,0.328696925329429,0.005856515373352855,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.4,0.16532099602212336,1366,523,11,0.021032504780114723,0.000563729079806503,0.04824838475266088,True,0.3828696925329429,0.008052708638360176,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.45,0.1709493339600331,1366,584,15,0.025684931506849314,0.002442340882162373,0.052757598361142355,False,0.42752562225475843,0.010980966325036604,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.5,0.17649812580475832,1366,653,20,0.030627871362940276,0.010553461187023053,0.05745373539947955,False,0.4780380673499268,0.014641288433382138,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.55,0.18327371995228192,1366,715,27,0.03776223776223776,0.07409976823523949,0.06512203871530453,False,0.5234260614934114,0.019765739385065886,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.6,0.19074781808510477,1366,782,30,0.03836317135549872,0.07501249728540947,0.06444277612286249,False,0.5724743777452416,0.021961932650073207,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.65,0.1976087190417628,1366,852,37,0.04342723004694836,0.2137583539198015,0.06938685983930276,False,0.623718887262079,0.027086383601756955,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.7,0.20524083299824047,1366,927,47,0.05070118662351672,0.577379172853331,0.07690871076794667,False,0.678623718887262,0.034407027818448024,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.75,0.21248436173756335,1366,988,56,0.05668016194331984,0.8498076407838421,0.08304862977780407,False,0.7232796486090776,0.040995607613469986,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.8,0.22006179553703664,1366,1068,70,0.06554307116104868,0.9896506928819316,0.09222896451227115,False,0.7818448023426061,0.05124450951683748,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.85,0.23149812757749977,1366,1150,85,0.07391304347826087,0.9998170206321878,0.10073871207454926,False,0.8418740849194729,0.06222547584187409,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.9,0.24333991959058865,1366,1223,98,0.08013082583810302,0.9999971570283246,0.1068835275321812,False,0.8953147877013177,0.07174231332357248,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,0.95,0.261719957483052,1366,1285,114,0.088715953307393,0.9999999973975987,0.11580055464655552,False,0.9407027818448024,0.08345534407027819,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R2100,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,reused_parent_test,$DATA_DIR/P2_RISK_CALIBRATION_BINARY_20260914T043954Z/summary/calibration_100.csv,4,,,,,
R32_r4,0.05,0.185338848459772,1366,71,0,0.0,0.02620450591493631,0.09270925900953109,False,0.05197657393850659,0.0,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.1,0.1858440861241436,1366,115,1,0.008695652173913044,0.019344869557991074,0.07747822689527309,False,0.0841874084919473,0.0007320644216691069,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.15,0.18626928687754396,1366,187,6,0.03208556149732621,0.1698393316322852,0.09351424709730606,False,0.13689604685212298,0.004392386530014641,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.2,0.18657330839402442,1366,259,9,0.03474903474903475,0.16238333548035677,0.0851950085769736,False,0.18960468521229867,0.006588579795021962,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.25,0.18682667270224473,1366,338,15,0.04437869822485207,0.3760763211265851,0.09022728807103488,False,0.24743777452415813,0.010980966325036604,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.3,0.18702724215475341,1366,406,23,0.05665024630541872,0.7718794922692634,0.10107432916816224,False,0.2972181551976574,0.01683748169838946,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.35,0.18717192900242818,1366,463,29,0.06263498920086392,0.9085654372162735,0.10514966369616956,False,0.3389458272327965,0.0212298682284041,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.4,0.18733413624719175,1366,546,36,0.06593406593406594,0.9599327529523245,0.1052233182032744,False,0.39970717423133234,0.02635431918008785,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.45,0.18747933222476854,1366,625,42,0.0672,0.9766119980352416,0.10377071379841879,False,0.4575402635431918,0.03074670571010249,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.5,0.1875826986908501,1366,678,47,0.06932153392330384,0.9890083536243417,0.10461551526666055,False,0.49633967789165445,0.034407027818448024,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.55,0.18770760978954704,1366,752,54,0.07180851063829788,0.9963308076279949,0.10550888457616601,False,0.5505124450951684,0.03953147877013177,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.6,0.18784036425766015,1366,807,60,0.07434944237918216,0.998904562214314,0.10714925813355623,False,0.5907759882869692,0.043923865300146414,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.65,0.1879906282639916,1366,881,72,0.08172531214528944,0.9999756276971608,0.11407520431627557,False,0.6449487554904831,0.0527086383601757,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.7,0.1881342957087544,1366,958,89,0.09290187891440502,0.9999999860281771,0.12530669953816626,False,0.7013177159590044,0.06515373352855051,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.75,0.18826632759113582,1366,1035,97,0.09371980676328502,0.9999999977577267,0.1248732759022451,False,0.7576866764275256,0.07101024890190337,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.8,0.1884199886764545,1366,1113,107,0.09613656783468104,0.9999999999100074,0.12636066754124384,False,0.8147877013177159,0.07833089311859444,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.85,0.18856340502439684,1366,1171,112,0.09564474807856532,0.999999999952664,0.12498123991325023,False,0.8572474377745242,0.08199121522693997,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.9,0.1887769563238343,1366,1245,122,0.09799196787148594,0.9999999999985182,0.12662650192736172,False,0.9114202049780381,0.08931185944363104,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,0.95,0.18904970024909762,1366,1300,132,0.10153846153846154,0.999999999999985,0.1298903387907216,False,0.9516837481698389,0.09663250366032211,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R32_r4,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229,new_test,,4,R32_r4,32,4,subsets/R32_r4.json,100
R128_r4,0.05,0.15887431841438548,1366,83,0,0.0,0.01415986911335107,0.07985679847161589,False,0.06076134699853587,0.0,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.1,0.15995649563659342,1366,121,0,0.0,0.002016305059763263,0.055489888660238795,False,0.08857979502196194,0.0,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.15,0.16079450538374407,1366,184,1,0.005434782608695652,0.0008509142762432504,0.049074056096355984,True,0.13469985358711567,0.0007320644216691069,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.2,0.16150184680405122,1366,243,2,0.00823045267489712,0.0003678302036808905,0.04534122310405563,True,0.17789165446559296,0.0014641288433382138,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.25,0.16211365355949603,1366,318,4,0.012578616352201259,0.00034124149498908406,0.04573947027474705,True,0.232796486090776,0.0029282576866764276,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.3,0.16268422405032867,1366,377,6,0.015915119363395226,0.0004567680921140569,0.04714772350683253,True,0.2759882869692533,0.004392386530014641,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.35,0.16317152312332106,1366,439,9,0.02050113895216401,0.0012612108894545088,0.05081289530933326,False,0.3213762811127379,0.006588579795021962,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.4,0.16370986383326336,1366,518,14,0.02702702702702703,0.0068655018336634815,0.05674993938514081,False,0.37920937042459735,0.010248901903367497,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.45,0.16417195476223778,1366,579,18,0.031088082901554404,0.01799836360088021,0.06014343222084989,False,0.4238653001464129,0.013177159590043924,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.5,0.16467488312029266,1366,647,25,0.03863987635239567,0.1051431634413276,0.06794314954999939,False,0.47364568081991215,0.018301610541727673,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
R128_r4,0.55,0.1651234980532481,1366,723,35,0.048409405255878286,0.46594678091192543,0.07818262524572717,False,0.5292825768667643,0.02562225475841874,new_test,,4,R128_r4,128,4,subsets/R128_r4.json,100
